details,date,description,man_hours,type,location_name,grid_ref
Incident Report #48 1988,"Saturday, 8 October, 1988 - 11:45","A 30 year old woman collapsed with exposure. Carried to waiting ambulance. This was another wet, windy and cold day.",NA,Fellwalking,Pike O' Blisco,NA
Incident Report #47 1988,"Thursday, 6 October, 1988 - 16:00",A 15 year old youth developed exhaustion/exposure during a fell running event. A small party of Team and Kendal MRT members carried him off the fell. This was a very wet and windy day.,NA,Fellrunning,Stake Pass,NA
Incident Report #46 1988,"Thursday, 29 September, 1988 - 18:00","A 50 year old woman (who has helped the Team on many occasions with her culinary skills), left home suffering from depression. The Team searched roads, laybys etc. She returned home later that evening safe and well.",NA,Search,Gt Langdale,NA
Incident Report #45 1988,"Sunday, 25 September, 1988 - 07:00","A 43 year old man had gone missing from home on 7/8/88, his car was found at the Stickle Barn car park 22/9/88. The Team assisted by many other teams and SARDA, involving some 90 personnel, searched the area with negative results.",NA,Search,Gt Langdale,NA
Incident Report #44 1988,"Saturday, 17 September, 1988 - 20:43",'Flashing' lights were seen on Scout Crag. A small party went to investigate and found 4 women climbers (aged 40-60) who had finished their climb rather later than anticipated. All were unhurt and nobody was in any difficulty.,NA,Rock climbing,Scout Crag,NA
Incident Report #43 1988,"Saturday, 17 September, 1988 - 13:45","A 23 year old woman member of a party of 6, was hit by falling rocks as she was ascending the gully, sustaining serious head, chest and back injuries. The Team lowered the stretcher for 150 feet down the gully then carried her to waiting ambulance.",NA,Fellwalking,Middlefell Gully,NA
Incident Report #42 1988,"Monday, 12 September, 1988 - 15:00","The Team and Keswick MRT responded to a report that a middle-aged gentleman was very ill. He was located by RAF helicopter at the head of Far Easdale, flown to Ambleside Health Centre for check up. Possible virus infection.",NA,Fellwalking,Greenup Gill,NA
Incident Report #41 1988,"Thursday, 8 September, 1988 - 15:38","A 27 year old man fell 150 feet whilst descending the screes, receiving a broken arm and head injuries. He was escorted off the hill and taken to the ambulance station by Team ambulance.",NA,Fellwalking,Pike O'Stickle Screes,NA
Incident Report #40 1988,"Thursday, 8 September, 1988 - 12:30","A 16 year old girl, under instruction, slipped while crossing the gill, suffering a lacerated knee and injured knee cap. Evacuated to awaiting ambulance.",NA,Fellwalking,Mill Gill,NA
Incident Report #39 1988,"Wednesday, 31 August, 1988 - 13:26",An 81 year old woman slipped and sustained a fractured lower leg.,NA,Fellwalklng,Loughrigg,NA
Incident Report #38 1988,"Tuesday, 16 August, 1988 - 15:57","A 17 year old female member of group collapsed from heat exhaustion, mainly due to the fact that her rucksack was very heavy and she was somewhat unfit. The Team was unable to contact the group's 'supervisors' until 6 hours later.",NA,Fellwalking (Venture Scout Expedition),Crinkle Gill,NA
Incident Report #37 1988,"Saturday, 13 August, 1988 - 16:30",In wet conditions a 60 year old man slipped and broke his ankle. Stretchered off the hill and taken to hospital by private car.,NA,Fellwalking,Mill Gill,NA
Incident Report #36 1988,"Friday, 5 August, 1988 - 16:53","The Team attended yet another fractured lower leg, this time to a 63 year old woman.",NA,Fellwalking,Birkfell Gill,NA
Incident Report #35 1988,"Monday, 1 August, 1988 - 21:20",Poor footwear may have caused a 51 year old woman to slip and sustain a fractured lower right leg.,NA,Fellwalking,Nab Scar,NA
Incident Report #34 1988,"Friday, 29 July, 1988 - 18:03",The Team assisted a 51 year old man who had slipped and sustained a fractured lower leg.,NA,Fellwalking,Scandale,NA
Incident Report #33 1988,"Friday, 29 July, 1988 - 14:08","A 55 year old man slipped and fell about 50 feet in very wet conditions receiving head, spinal and neck injuries.",NA,Fellwalking,Greenhead Gill,NA
Incident Report #32 1988,"Saturday, 23 July, 1988 - 23:00","the Team, SARDA. and Keswick MRT mounted a search for two 18 year old men who failed to return to Langdale from a walk to Scafell. They returned to Langdale at 2.30 am 24/7/88 having gone down to Borrowdale at 7.30pm the previous evening! Very limited experience and very poor equipment featured strongly in this call out.",NA,Search,Gt Landgate,NA
Incident Report #31 1988,"Saturday, 16 July, 1988 - 19:45","The Team, assisted by Kendal MRT, went to the assistance of 6 young people aged 17-24 years, in very wet cold conditions. One person had minor leg injuries and the rest suffered from exhaustion/exposure. Limited experience and poor judgement probably caused this incident.",NA,D of E Award Scheme Expedition,Fairfield summit,NA
Incident Report #30 1988,"Sunday, 10 July, 1988 - 19:39","A 30 year old man decided to make his way off Pavey Ark by one of the climbs, becoming cragfast 40 feet above Jack's Rake. He was lowered to the Rake and escorted off the hill unhurt but very lucky.",NA,Fellwalking,Pavey Ark,NA
Incident Report #29 1988,"Sunday, 3 July, 1988 - 19:17",A 24 year old man fell whilst scrambling and dislocated a shoulder. He was given pain reducing drugs and conveyed to waiting ambulance.,NA,Scrambling,Harrison Stickle,NA
Incident Report #28 1988,"Monday, 27 June, 1988 - 14:44",A 57 year old woman slipped and fractured her lower leg. Conveyed to waiting ambulance.,NA,Fellwalking,High Sweden Bridge,NA
Incident Report #27 1988,"Friday, 24 June, 1988 - 17:38","Whilst rescue no. 26 was in progress, 9 Team members had to be diverted to assist a 68 year old woman with a fractured lower leg.",NA,Fellwalking,Alcock Tarn,NA
Incident Report #26 1988,"Friday, 24 June, 1988 - 15:17","25 Team members were involved for 3 hours when a 33year old man fell 40 feet from 'F' route, sustaining back, leg and buttock injuries.",NA,Rock climbing,Gimmer Crag,NA
Incident Report #25 1988,"Thursday, 23 June, 1988 - 12:14",The Team were called in the early hours to a 17 year old youth suffering from acute kidney pains. He had already been treated for the same illness 2 months previously.,NA,Fellwalking (Outdoor Centre Group),Easdale Tarn,NA
Incident Report #24 1988,"Wednesday, 1 June, 1988 - 22:45",The Team were requested to assist Police to recover the badly decomposed body of a Windermere man missing for about 6 weeks.,NA,Recover Body,Woods near Wlndermere golf course,NA
Incident Report #23 1988,"Wednesday, 1 June, 1988 - 16:00",During rescue no. 22 we were informed that a 44 year old man had torn knee ligaments in both knees. Part of the Team were diverted to this incident.,NA,Fellwalking,Rossett Gill,NA
Incident Report #22 1988,"Wednesday, 1 June, 1988 - 14:55",The Team went to the assistance of a 21 year old man who dislocated his knee cap. They administered pain reducing drugs and conveyed the man to Ambleside ambulance station.,NA,Fellwalking,Rossett Gill,NA
Incident Report #21 1988,"Sunday, 15 May, 1988 - 18:06","A 37 year old man slipped on a stone, fracturing his left ankle. Stretchered to Old Dunqeon Ghyll.",NA,Fellwalking,Rossett Gill,NA
Incident Report #20 1988,"Sunday, 15 May, 1988 - 15:04",A 61 year old Ambleside woman fell off the path and sustained arm and knee injuries. Taken to hospital by ambulance.,NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #19 1988,"Sunday, 1 May, 1988 - 16:50","On a day of persistent severe electrical storms, reports that a party of four people had been hit by lightning reached the Team. Upon the Team's arrival it was found that one person had died and the others were suffering from minor injuries/burns. A RAF Helicopter assisted with the evacuation.",NA,Fellwalking,Great Rigg Man,NA
Incident Report #18 1988,"Monday, 25 April, 1988 - 16:23",Twenty-two Team members went to the assistance of a 'large gentleman' (reputed to be 6 feet 4 inches and 17 stone) who had slipped and fractured his right lower leg/ankle.,NA,Fellwalking,Gt Langdale,NA
Incident Report #17 1988,"Tuesday, 12 April, 1988 - 15:50",The Team was called to a 12 year old girl member of a school party who had a serious asthma attack. She recovered enough to walk down.,NA,Fellwalking,Pye Howe,NA
Incident Report #16 1988,"Tuesday, 5 April, 1988 - 14:45",A 49 year old woman slipped on wet grass and sustained a broken lower leg. She was carried off the hill and transported to the Team's Base by Team ambulance and transferred to county ambulance.,NA,Fellwalking,Grasmere,NA
Incident Report #15 1988,"Thursday, 31 March, 1988 - 17:45","Inexperience probably led a 17year old London youth to 'have ago' at scrambling. The resulting 180 feet fall down a rock face left him with two broken lower legs/ankles (one compound), spinal and head injuries. The Team gave First Aid to the casualty and evacuated him to an awaiting ambulance.",NA,Rock Scrambling,Nab Scar,NA
Incident Report #14 1988,"Sunday, 27 March, 1988 - 13:38",The Team gave First Aid to a middle-aged woman who had slipped and broken her right ankle. Transported to hospital by private car.,NA,Silver How,fellwalking,NA
Incident Report #13 1988,"Saturday, 26 March, 1988 - 12:12","A 14 year old youth slipped breaking his left arm; the informant gave incorrect location and travelled 2 miles more than necessary before raising the alarm, resulting in a considerable delay.",NA,Fellrunning,Hell Gill,NA
Incident Report #12 1988,"Saturday, 19 March, 1988 - 13:48",A 25 year old woman collapsed at Stickle Tarn and was carried part way down Mill Gill by friends. The Team stretchered the casualty off the hill. (Possible virus infection.),NA,Fellwalking,Stickle Tarn,NA
Incident Report #11 1988,"Saturday, 5 March, 1988 - 16:40","Two climbers were reported to have been avalanched in North Gully. The Team was called to investigate, nothing found but other climbers said that two climbers were avalanched 500 feet and walked away unhurt.",NA,winter,North Gully,NA
Incident Report #10 1988,"Wednesday, 24 February, 1988 - 18:53","A 20 year old man, part of an Outward Bound Group, slipped on snow and ice at Ore Gap sustaining head injuries from his ice axe. He continued down suffering bouts of unconsciousness before finally collapsing. Search dogs assisted in locating the casualty who was flown to hospital by RAF Helicopter.",NA,winter,Ore Gap,NA
Incident Report #9 1988,"Saturday, 13 February, 1988 - 15:07","During heavy rain a 60 year old man fell in Browney Gill receiving serious head and spinal injuries. The Team assisted by KendalMRT performed a very difficult and prolonged evacuation, hauling the stretcher out of the gill and crossing flooded rivers to reach the road.",NA,Fellwalking,Browney Gill,NA
Incident Report #8 1988,"Monday, 8 February, 1988 - 12:30","Many people from several Teams were involved in the search for the search dog 'Loch' who went missing during incident 7. Loch, whose handler is a member of LAMRT, was found safe and well.",NA,Search,Patterdale,NA
Incident Report #7 1988,"Monday, 8 February, 1988 - 12:20","The Team along with other Teams and a Helicopter, assisted the Patterdale Team in a massive search for a 57 year old Liverpool man who failed to return during the blizzards of the previous day. Incredibly after being missing for 24 hours he was found alive but unfortunately died shortly afterwards.",NA,Search,Helvellyn,NA
Incident Report #6 1988,"Monday, 8 February, 1988 - 09:15",The Team was requested to take baby food to the Kirkstone Pass Inn where two families had been stranded in the blizzards of the previous day. The Team's specially equipped Land Rover reached the pass and brought the families back to Windermere Police station.,NA,Local,Kirkstone Pass Inn,NA
Incident Report #5 1988,"Sunday, 7 February, 1988 - 16:25","Three middle-aged men were reported to be in difficulties in atrocious weather conditions. The Team found them at Thresthwaite Mouth suffering from exhaustion/exposure, they were escorted to safety.",NA,winter,Thresthwarte Mouth,NA
Incident Report #4 1988,"Sunday, 7 February, 1988 - 13:45",Team members assisted Coniston MRT when three people fell a considerable distance down a gully in blizzard conditions. Two were uninjured and the third sustained a broken leg and back injuries. A Helicopter from RAF Boulmer flew the injured to hospital.,NA,Winter climbing,Hen Crag,NA
Incident Report #3 1988,"Saturday, 6 February, 1988 - 14:04",A 39 year old Ambleside man fell 50 feet down a snow filled gully sustaining a compound fracture to an ankle. The Team stretchered the casualty to waiting Ambulance in Patterdale.,NA,Winter climbing,Tarn Crag,NA
Incident Report #2 1988,"Friday, 5 February, 1988 - 23:50",Flashing lights were seen on Wansfell by numerous people. On investigation it was found that two boys had been flashing the distress signal. Nobody was in need of assistance but the Team escorted the group off the hill.,NA,flashing lights,Wansfell,NA
Incident Report #1 1988,"Wednesday, 3 February, 1988 - 21:00",Two flares were seen in the Low Pike area by a local man. Team members searched the area but nothing was found. Search called off at 11.30 prn.,NA,Fellwalking,High Pike/Low Pike areas,NA
Incident Report #61 1989,"Thursday, 28 December, 1989 - 13:50",A 72 year old man slipped on frozen ground and sustained hand and finger injuries.,NA,Fellwalking,Easdale Tarn,NA
Incident Report #60 1989,"Thursday, 14 December, 1989 - 13:40",A 55 year old man slipped on ice and sustained lower leg injuries.,NA,Fellwalking,A 55 year old man slipped on ice and sustained lower leg injuries.,NA
Incident Report #59 1989,"Saturday, 9 December, 1989 - 16:05","A 16 year old youth fell 60 feet, sustaining multiple injuries including head injuries. The Team assisted by R.A.F. Stafford M.R.T. administered first aid then the casualty was flown by R.A.F. helicopter to hospital.",NA,Fellwalking,Red Screes,NA
Incident Report #58 1989,"Wednesday, 22 November, 1989 - 21:30","The Team assisted by Keswick M.R.T. and Search Dogs searched for two middle aged men reported missing. Located at Green Hole, Mosedale at 1.15 a.m. No injuries.",NA,Search,Langdale,NA
Incident Report #58 1989,"Wednesday, 22 November, 1989 - 21:30",The Team received reports of 'flashing lights' on the Band. Upon investigation it turned out to be a group of 5 people benighted because they weren't carrying torches. The 'flashing light' was an electronic camera flash. Rescue teams could well do without this sort of incident; if people carried torches or got themselves off the hill before dark there would be no problem.,NA,Fellwalking,The Band,NA
Incident Report #57 1989,"Saturday, 18 November, 1989 - 21:00",The Team received reports of 'flashing lights' on the Band. Upon investigation it turned out to be a group of 5 people benighted because they weren't carrying torches. The 'flashing light' was an electronic camera flash. Rescue teams could well do without this sort of incident; if people carried torches or got themselves off the hill before dark there would be no problem.,NA,Fellwalking,The Band,NA
Incident Report #56 1989,"Wednesday, 1 November, 1989 - 22:00",Team members were involved in a search for a lone walker who failed to return to the Old Dungeon Ghyll hotel where he was staying. Search called off at 12.00 p.m. when the man turned up in Eskdale.,NA,Search,Scafell,NA
Incident Report #55 1989,"Sunday, 29 October, 1989 - 13:40","Believe it or not, yet another lower leg fracture, this time to a 54 year old woman. Evacuated as usual by stretcher to waiting ambulance.",NA,Fellwalking,Loughrigg,NA
Incident Report #54 1989,"Monday, 23 October, 1989 - 14:25","Yet another lower leg fracture, this time to a 59 year old man who slipped on the very wet fellside.",NA,Fellwalking,Greenburn,NA
Incident Report #53 1989,"Saturday, 21 October, 1989 - 14:10","A 44 year old man slipped on the wet fellside and sustained a lower leg fracture. An R.A.F. helicopter which was in Ambleside at the time, flew Team members to the scene.",NA,Fellwalking,Helm Crag,NA
Incident Report #52 1989,"Wednesday, 4 October, 1989 - 23:18",A 23 year old woman slipped and sustained a dislocated knee cap. The doctor at the scene put her knee cap back into place whilst she was under the influence of pain killers.,NA,Fellwalking,Brackenfell,NA
Incident Report #51 1989,"Sunday, 24 September, 1989 - 18:25","Whilst call-out No. 50 was in progress part of the Team were diverted to this second incident, where a 59 year old woman had sustained an open fracture of the ankle. Evacuated by Team's 4 wheel drive ambulance to Ambleside for transfer.",NA,Fellwalking,Tongue Gill,NA
Incident Report #50 1989,"Sunday, 24 September, 1989 - 17:25",A 47 year old woman slipped and sustained a fractured ankle.,NA,Fellwalking,Stone Arthur,NA
Incident Report #49 1989,"Friday, 22 September, 1989 - 23:12","A 55 year old woman slipped and fell a short distance. She received pelvic, rib and leg injuries.",NA,Fellwalking,Blea Rigg,NA
Incident Report #48 1989,"Saturday, 16 September, 1989 - 14:20",A 14 year old boy slipped and sustained leg injuries. Casualty's equipment was poor.,NA,Fellwalking,Silver How,NA
Incident Report #47 1989,"Thursday, 7 September, 1989 - 17:01",A 61 year old man collapsed with a heart attack. Team stretchered him off the hill to waiting ambulance. His condition was constantly monitored using the Team's defibrillator.,NA,Fellwalking,Brackenfell,NA
Incident Report #46 1989,"Tuesday, 29 August, 1989 - 16:15","A 14 year old boy member of a Duke of Edinburgh group slipped and fell into the gill, sustaining leg injuries.",NA,Fellwalking,Robin Gill,NA
Incident Report #45 1989,"Thursday, 17 August, 1989 - 11:40",A 60 year old man collapsed (probable heart attack). Evacuated by Team to Team's ambulance and then transferred to County ambulance in Ambleside.,NA,Fellwalking,Easdale,NA
Incident Report #44 1989,"Thursday, 10 August, 1989 - 13:25","Another beck scrambling accident, this time to a 15 year old boy member of a youth activity group. He slipped and sustained a lower leg fracture.",NA,Beck Scrambling,Stickle Gill,NA
Incident Report #43 1989,"Tuesday, 1 August, 1989 - 13:14",A 68 year old woman slipped and sustained a lower leg fracture. Poor footwear may have contributed to this incident.,NA,Fellwalking,Stickle Gill,NA
Incident Report #42 1989,"Thursday, 27 July, 1989 - 16:10",The Team were called to assist a 20 year old man who had pulled a rock onto himself and fractured his femur. He had lain there for 4 hours before passing walkers found him. He was flown by R.A.F. helicopter to Whitehaven hospital.,NA,Fellwalking,Crinkle Crags,NA
Incident Report #41 1989,"Tuesday, 25 July, 1989 - 16:02",A 55 year old woman slipped and sustained a lower leg fracture.,NA,Fellwalking,Easedale Tarn,NA
Incident Report #40 1989,"Sunday, 23 July, 1989 - 02:42",A group of 3 climbers were reported overdue. The Team searched the crag and the surrounding area. They were eventually found in Middlefell Gully having become benighted on their descent.,NA,Rock climbing,Gt Langdale,NA
Incident Report #39 1989,"Wednesday, 12 July, 1989 - 12:57",A 63 year old woman collapsed and died whilst walking with friends. The Team recovered her body.,NA,Fellwalking,Browney Gill,NA
Incident Report #38 1989,"Sunday, 9 July, 1989 - 13:23",A 56 year old man collapsed and died. The Team recovered his body.,NA,Fellwalking,Loughrigg,NA
Incident Report #37 1989,"Friday, 7 July, 1989 - 11:15",A 16 year old girl became ill whilst on a Duke of Edinburgh expedition. The Team helped her off the hill.,NA,Fellwalking,Tongue Gill,NA
Incident Report #36 1989,"Wednesday, 5 July, 1989 - 09:10",A 50 year old woman slipped and sustained a lower leg fracture. Poor footwear may have contributed to this accident.,NA,Fellwalking,Alcock Tarn,NA
Incident Report #35 1989,"Monday, 26 June, 1989 - 17:19",A 50 year old woman slipped and sustained a lower leg fracture. Poor footwear may have contributed to this accident.,NA,Fellwalking,Alcock Tarn,NA
Incident Report #34 1989,"Thursday, 15 June, 1989 - 18:35","A 14 year old girl member of a youth activity group, slipped and fell whilst scrambling in Stickle Gill. She received spinal, pelvic and leg injuries.",NA,Gill Scrambling,Stickle Gill,NA
Incident Report #33 1989,"Sunday, 11 June, 1989 - 19:15",A 34 year old man left his friend at Kirkstone at 3.00 pm. on 10/6/89. He was in a distressed state. Police alerted Team and Search Dogs searched the area for 3 hours. The man turned up in Keswick on 12/6/89.,NA,Search,Kirkstone and surrounding areas,NA
Incident Report #32 1989,"Friday, 2 June, 1989 - 14:17",A 61 year old woman slipped and sustained a fractured lower leg. Stretchered to Team's ambulance and then transferred lo County ambulance at Ambleside for the journey to hospital.,NA,Fellwalking,Three Tarns,NA
Incident Report #31 1989,"Wednesday, 31 May, 1989 - 22:16","The Team, together with a helicopter from R.A.F. Valley went to the assistance of 3 teenage girls reported to be suffering from exposure on Fairfield. The Team were recalled at 5.45 p.m. when it was known that the girls were safely off the hill. The girls were on a Duke of Edinburgh practice expedition.",NA,Fellwalking,Fairfield,NA
Incident Report #30 1989,"Monday, 29 May, 1989 - 15:02","A 72 year old woman fell, receiving leg and chest injuries and possibly having a heart attack at the same time. By chance a helicopter was in the area and flew the woman to hospital. The casualty had a heart attack 3 weeks previous to this incident.",NA,Fellwalking,Nab Scar,NA
Incident Report #29 1989,"Sunday, 28 May, 1989 - 19:30",A 15 year old girl slipped and sustained an ankle injury. Carried off the hill to Team's ambulance and then to Ambleside Health Centre.,NA,Fellwalking,Rossett Gill,NA
Incident Report #28 1989,"Sunday, 14 May, 1989 - 16:57","The Team assisted a 22 year old female member of a Duke of Edinburgh practice group, who received minor leg injuries. Taken to Ambleside Health Centre by Team ambulance.",NA,Fellwalking,Mickleden,NA
Incident Report #27 1989,"Saturday, 13 May, 1989 - 14:25",A 36 year old woman slipped at the bottom of a ladder stile and sustained a fractured lower leg.,NA,Fellwalking,Stickle Gill,NA
Incident Report #26 1989,"Wednesday, 10 May, 1989 - 13:58",A 17 year old woman received pelvic and spinal injuries after being struck on the back by falling rocks. She was part of a voluntary group working for the National Trust. Stretchered to ambulance and then to hospital.,NA,occupational,Hag Gill,NA
Incident Report #25 1989,"Tuesday, 2 May, 1989 - 15:15","The Team, assisted by Kendal M.R.T. and a helicopter from R.A.F. Boulmer, searched the Crinkle Crags area for 5 hours after two people heard light aircraft noise followed by a crash which they assumed was the aircraft crashing. There was thick mist at the time. Nothing was found. False alarm with good intent.",NA,Aircraft Crash,Crinkle Crags,NA
Incident Report #24 1989,"Wednesday, 26 April, 1989 - 13:42",Passing walkers found a 53 year old man collapsed on the path. The Team went to the scene and a helicopter from R.A.F. Boulmer flew the casualty to hospital. Diagnosed as a diabetic coma.,NA,Fellwalking,Dollywagon Pike,NA
Incident Report #23 1989,"Saturday, 22 April, 1989 - 14:12",A 55 year old man slipped on wet grass and fractured his tibia and fibula.,NA,Fellwalking,Red Screes,NA
Incident Report #22 1989,"Monday, 17 April, 1989 - 13:20",A 73 year old man collapsed and died while out walking with his family; the Team recovered his body.,NA,Fellwalking,Stickle Tarn,NA
Incident Report #21 1989,"Tuesday, 11 April, 1989 - 15:15","Two teenage girls, part of an A.T.C. group, went down with exposure in poor weather conditions. One slipped and sustained head and spinal injuries. Both girls were stretchered off the hill.",NA,Fellwalking,Woundale,NA
Incident Report #20 1989,"Monday, 10 April, 1989 - 21:38",A 54 year old woman slipped and sustained a lower leg fracture.,NA,Fellwalking,Loughrigg,NA
Incident Report #19 1989,"Sunday, 2 April, 1989 - 14:20","Over 250 personnel from various M.R.T.s and an R.A.F. helicopter searched for a school group comprising 13 girls (aged 16-17) and 3 adults, after one of the girls was reported to have collapsed from exposure in the Calf Cove area. They were found at 8.00 p.m. near Styhead tarn. One girl was taken to hospital with exposure, the others were fit enough to walk down. The weather conditions were atrocious, blizzards, bitterly cold, strong winds, thick mist. The group was lucky, had they remained in the Calf Cove area the outcome could have been much more serious.",NA,Fellwalking,Esk Hause,NA
Incident Report #18 1989,"Monday, 27 March, 1989 - 15:20",A 39 year old man was recovered from Jackdaw Crag after becoming cragfast.,NA,Fellwalking,Helm Crag,NA
Incident Report #17 1989,"Saturday, 25 March, 1989 - 18:15",A 54 year old man collapsed with severe chest pains thought to be a heart attack but later found to be acute angina. Stretchered off hill to waiting ambulance.,NA,Fellwalking,Browney Gill,NA
Incident Report #16 1989,"Saturday, 25 March, 1989 - 12:54","A 17 year old girl fell 25 feet whilst climbing under instruction on her first day rock climbing. She sustained a dislocated elbow, spinal injuries and fractured ankle.",NA,Rock climbing,Lower Scout Crag,NA
Incident Report #15 1989,"Thursday, 23 March, 1989 - 21:22",Five teenage members of a youth group suffered mild exposure after gales and heavy rain destroyed their tents. Team members escorted them off the hill.,NA,Camping,Loughrigg,NA
Incident Report #14 1989,"Thursday, 23 March, 1989 - 13:30",Team assisted a 59 year old woman who slipped and suffered a fractured lower leg.,NA,Fellwalking,Loughrigg,NA
Incident Report #13 1989,"Saturday, 18 March, 1989 - 12:14",A 44 year old female member of a rambling group suffered a fractured lower leg. Stretchered to Team's 4 WD ambulance in Mickleden and via County Ambulance Service to hospital from the O.D.G. Poor footwear probably a major contributory factor.,NA,Fellwalking,Stake Pass,NA
Incident Report #12 1989,"Sunday, 12 March, 1989 - 22:30","Team members, 6 Search Dogs and Patterdale M.R.T. searched for a young couple long overdue on a walk, located safe and well near Red Screes at 2.00 a.m. This was a very wet and windy night.",NA,Search,Red Screes,NA
Incident Report #11 1989,"Saturday, 11 March, 1989 - 09:24",The Team recovered the body of a 23 year old Kendal man who had fallen whilst climbing alone receiving fatal injuries. This man was a very experienced climber and it was an especially sad occasion as he was well known to many Team members.,NA,Rock climbing,Raven Crag,NA
Incident Report #10 1989,"Friday, 10 March, 1989 - 15:53","The Team assisted by Kendal M.R.T. and a helicopter from R.A.F. Boulmer went to recover a 15 year old youth who had fallen 10 feet onto a ledge sustaining an ankle injury. It transpired that he was one of two brothers who decided to climb Jack's Rake, half-way up the Rake the elder brother bet £1.00 for the other brother to climb the rock face above the Rake! The challenge was duly taken up and he became 'cragfast' and then fell off onto a ledge. He was very, very lucky not to fall the remaining 300 feet with the inevitable consequences. Experience nil and clothing abysmal.",NA,Fellwalking,Pavey Ark,NA
Incident Report #9 1989,"Saturday, 4 March, 1989 - 14:17",The Team extracted a 19 year old woman from the river (which was in flood) who had broken both legs in a Canoeing accident.,NA,Canoeing,Great Langdale Beck,NA
Incident Report #8 1989,"Sunday, 26 February, 1989 - 17:17","A 21 year old man hit a stone wall whilst sledging and received head, arm and pelvic injuries. He was stretchered off the hill and taken to hospital by ambulance.",NA,Sledging,Wansfell,NA
Incident Report #7 1989,"Friday, 24 February, 1989 - 16:15",The Team assisted a 52 year old man off the hill who had slipped on steep snow covered ground sustaining superficial arm and head injuries.,NA,Fellwalking,Silver Howe,NA
Incident Report #6 1989,"Sunday, 12 February, 1989 - 14:40",A 66 year old woman fell and broke her wrist whilst on a walk with her family.,NA,Fellwalking,Loughrigg,NA
Incident Report #5 1989,"Thursday, 2 February, 1989 - 09:00",The Police requested the Team's assistance to recover the body of a 57 year old woman from the fells around Windermere.,NA,Local Incident,School Knott Tarn,NA
Incident Report #4 1989,"Monday, 23 January, 1989 - 20:35",Two male climbers in their twenties were reported overdue by friends. A local farmer heard shouts and saw flashing lights on Gimmer Crag. A helicopter from R.A.F. Boulmer winched the two men (who had become cragfast and were now suffering from exposure) from the rockface. Both men had either little or no experience.,NA,Rock climbing,Gimmer Crag,NA
Incident Report #3 1989,"Monday, 23 January, 1989 - 11:32",The Team were called to assist a 77 year old gentlemen who had fainted several times. The Team took the man to Ambleside Health Centre for a check-up.,NA,Fellwalking,Mickleden,NA
Incident Report #2 1989,"Monday, 16 January, 1989 - 13:20",A 56 year old man received a lower leg fracture after slipping on wet ground.,NA,Fellwalking,Side Pike,NA
Incident Report #1 1989,"Sunday, 1 January, 1989 - 23:00",A 58 year old man was reported overdue after leaving the rest of his party to descend by himself. A Search Dog found the man at the base of a 50 foot crag some distance from the path. The man had fallen over the crag whilst descending in darkness (no torch found) and had sustained fatal injuries.,NA,Fellwalking,The Band,NA
Incident Report #73 1990,"Saturday, 17 November, 1990 - 21:00",3 men failed to return after setting out to climb Bowfell Buttress. All 3 turned up wet and tired in Eskdale. For some reason they'd turned right instead of left at Three Tarns.,NA,Search,Gt Langdale,NA
Incident Report #72 1990,"Monday, 5 November, 1990 - 14:08","25 year old man fell 40 feet when his abseil anchor failed. Sustained head, arm and spinal injuries. Two morals: 1. Wear a helmet: 2. Don't try learning abseiling by trial and error method",NA,Rock climbing,Raven Crag,NA
Incident Report #71 1990,"Thursday, 25 October, 1990 - 18:20",22 year old man 'having difficulty' in getting down from Bowfell having exposure and ill-fitting boots.,NA,Fellwalking,Oxendale,NA
Incident Report #70 1990,"Tuesday, 23 October, 1990 - 15:20","10 year old boy, part of a youth group supervised by nuns, slipped and fell 50 feet over Tarn Crag, sustaining serious head injuries. Airlifted to hospital by RAF Boulmer.",NA,Fellwalking,Tarn Crag,NA
Incident Report #69 1990,"Monday, 22 October, 1990 - 11:18",69 year old woman slipped on a rock and dislocated her knee.,NA,Fellwalking,Lake Shore,NA
Incident Report #68 1990,"Sunday, 14 October, 1990 - 17:27","23 year old man, in a small group, collapsed for no clear reason. He didn't fracture his leg.
 ",NA,Fellwalking,Loughrigg,NA
Incident Report #67 1990,"Sunday, 14 October, 1990 - 14:10","25 year old woman fell ""head over heals"" and sustained head injuries.",NA,Fellwalking,Stickle Ghyll,NA
Incident Report #66 1990,"Saturday, 6 October, 1990 - 17:01",45 year old woman slipped on steep footpath and fractured her leg. We're getting awfully good at leg splints by now.,NA,Fellwalking,Side Pike,NA
Incident Report #65 1990,"Sunday, 30 September, 1990 - 16:32",35 year old man slipped on wet rock and fractured his leg.,NA,Fellwalking,Low Pike,NA
Incident Report #64 1990,"Saturday, 29 September, 1990 - 16:53",62 year old woman slipped on wet footpath and fractured her ankle.,NA,Fellwalking,Far Easedale,NA
Incident Report #63 1990,"Wednesday, 12 September, 1990 - 19:25","41 year old man fell whilst climbing, fracturing his leg. His friend successfully lowered him to the ground. Stretcher carriers reported that the casualty was ""tall and broad"".",NA,Rock climbing,Gimmer Crag,NA
Incident Report #62 1990,"Saturday, 8 September, 1990 - 12:38","48 year old woman slipped on wet fellside and fractured her leg.
 ",NA,Fellwalking,Loughrigg,NA
Incident Report #61 1990,"Tuesday, 4 September, 1990 - 13:55",37 year old woman fell on footpath and fractured her leg.,NA,Fellwalking,Stock Ghyll,NA
