description,title,year,day,month_str,incident_n,month_n,grid_ref
"The weather was dry and the air quite still. Obviously it was dark, but we were well equipped with head torches.A gentleman had been camping out in the cave at Hodge Close with a group of friends. Not long after midnight he had wandered too near the edge of one of the rocks which frequent the area above the lake at the bottom of the quarry. He slipped falling approx.50ft into the water. Fortunately the accident was heard by a friend who was able to drag him to relative safety.When the team arrived paramedics and the fire service were already at the top of the quarry waiting for us to find a safe route to gain access to the casualty. Lights had been set up at the edge of the quarry. He was located below the cave suffering from severe head and chest injuries, although there was a possibility of other injuries. However due to the precarious position the gentleman was in ie. on a rough slate slope with part of him submerged, urgent evacuation was paramount. Whilst he was being treated, ropes were used to secure both the casualty and the stretcher before he was lifted on to it. Paramedics had been lead to the scene by one of the team members via a safer route. Eventually we were able to carry him round the rocks, and then a vertical stretcher lift enabled by the use of a rope system, took him to the surface. It was an arduous carry through the tunnel before he was safely transported into the waiting ambulance.The casualty was taken to Furness General Hospital.11 team members were able to respond to this incident which took 3 hours.",Hodge Close,2013,14,July,23,NA,NA
"It was obviously dark, and was raining and windy.People who had been staying at the Youth Hostel reported seeing flashing lights up the valley. Due to the fact it was midnight and the uncertain nature of the incident, the Team Leader kept the rest of the team on standby (ie. they were alerted but not requested to attend yet as a full team call out) whilst they and and an Assistant Team Leader investigated. Another team member manned the base. A search was carried out below Levers Water around the Water Treatment Plant, and then across to the Red Dell area. However, despite seeing a light, there was no sighting of people or tents and no response to shouting. It was decided that because no one had been reported missing, and the search had not revealed any problems, then they should stand the rest of the team down and return to base.There was a possibilty due to information received that the light could have actually been a lantern, possibly stuck on a rock and moving in the wind.3 Team Members, as mentioned, responded physically to the incident and the search took an hour.No further reports manifested from this initial call out.",Copper Mines Valley,2013,21,June,22,NA,NA
"The weather was dry and sunny, with a light wind which kept the clouds moving. It was warm in the sun.The North West Ambulance Service instigated this call out. A lady with an underlying medical condition needed assistance whilst walking in the Coppermines Valley area. She was about 50 metres off a main track situated below Low Water and near the quarries above Boulder Valley. The Great North Air Ambulance requested help with the evacuation. When the team arrived we gave her oxygen and she was later airlifted to Furness General Hospital.8 members attended this callout which took 1 3/4 hours.",Copper Mines Valley,2013,21,June,21,NA,NA
"The weather was dry, sunny and warm. There was a light wind and loads of “midges”….We were called to the assistance of a gentleman who had slipped by the Lake at Brown Howe. Having sustained an ankle injury he was made comfortable, the lower leg splinted and taken by stretcher to the waiting Ambulance at the roadside.11 members attended this callout which took 1 1/2 hours.",Brown Howe,2013,16,June,20,NA,NA
"The weather was dry, dull and quite muggy, with a light wind.This time it was the North West Ambulance Service which requested our help as opposed to the police initiating the call out. One of the Great North Air Ambulances was attending a casualty in Tilberthwaite, a tiny ex mining hamlet a few miles north of Coniston. A female walker had slipped on a footpath and had a suspected broken ankle. Assistance was needed to transport the lady to the helicopter which had landed in a field a few hundred meters away. We were able to stretcher her to our landrover and then drive the rest of the way.She was taken to Furness General Hospital.11 members attended this callout which took 1 1/4 hours.",Tilberthwaite,2013,11,June,19,NA,NA
"The weather was dry, sunny and warm. There was a light wind.We were called to the assistance of a gentleman who had become very fatigued. He was with a party of eight walkers who were doing a circular walk in Coppermines Valley. Unfortunately the walk was a little more demanding than expected and the casualty got as far as Grey Crag before being unable to go any further.Due to reasonable access to the location, the team soon arrived and the gentleman was put onto the stretcher and taken to the waiting landrover. He was unhurt and recovered well, so an ambulance was not required. He was driven back to his car in Coniston and we returned to base.8 members attended this callout which took 1 1/2 hours.",Grey Crag,2013,10,June,18,NA,NA
"The weather was dry, mostly cloudy but mild. The wind was very light.A lady was walking with a party of about 12 people on Holme Fell. Holme Fell is a small range of low fells north east of Coniston and can remain quite boggy in parts. This casualty slipped on very wet ground and sustained a possible fracture to her left ankle.Prior to setting off from the base we were advised that the Great North Air Ambulance was already en route and would be about 20 minutes. They arrived at the incident before the team and treated the lady. All we had to do was stretcher her to the helicopter. She was taken to Furness General Hospital.11 members attended this callout which took just over 2 hours.",Holme Fell May,2013,19,NA,17,NA,NA
"The weather was warm, dry and sunny at lower levels, but further up the fell it was cool with a strong westerly on the summit ridge.Two people had been scrambling on Brim Fell, 100 meters below the ridge of Coniston Old Man. One of the party dislodged a rock which became loose and fell trapping the scramblers leg. Her partner back climbed and managed to free her leg, however extensive damage had been caused to the soft tissue of her knee and she was unable to stand on the leg.Initially assistance was requested from the Great North Air Ambulance as the carry out on a stretcher would have been long and arduous from Low Water Tarn. The casualties were located higher than had been expected and on the crag. The decision was made to call an RAF Sea King for assistance with extraction as winching would be required to remove the casualty from their position. Whilst awaiting the RAF the air ambulance was able to transport 5 MR Team members, together with their kit, to the summit ridge. This enabled the party to be reached quickly where medical care was given. The location dictated that ropes, helmets and harnesses were a necessity for all parties on the crag. The Sea King arrived and the lady was safely winched, along with her partner, to safety. She was taken to the Royal Lancaster Infirmary where she was treated for her injuries and released with crutches the same day.15 members of the team attended this call out which took 3 ¾ hours, a total of 56.25 man hours.",Brim Fell May,2013,7,NA,16,NA,NA
"The weather was showery and cold, and some of the showers were heavy with hail.A male walker had slipped on wet grass at Eddy Scale, an area near the Bannishead/Tranearth Quarries above Torver. He had a suspected fracture to his left leg.Fortunately, the Great North Air Ambulance was able to land fairly close by and attend to the casualty, and as such, they were already on scene when the team arrived. The walker was already splinted and ready for the short stretcher carry to the helicopter. The paramedics confirmed a possible fracture to both the gentleman’s tibia and fibula. He was soon airlifted to Furness General Hospital.In total 13 team members responded to this call out, which due to the location and availablity of the GNAA, only took 1 3/4hrs","Eddy Scale, Torver April",2013,26,NA,15,NA,NA
"The weather was cloudy with mist in places especially higher up on the fells. There was also the occasional spell of drizzle and the temperature was milder than of late but obviously cooler on the tops.We were called to the assistance of four walkers who, we were told, had become lost somewhere in the vicinity of Goats Hawse and Levers Hawse.However whilst the team was preparing for the search, we received notification that another walker had met up with the party on the summit ridge between Coniston Old Man and Brim Fell. He said he would escort them off the mountain via Low Water and agreed to keep the team leader updated and let her know once the walkers were down safely. This meant that the team was actually stood down after 15 minutes, although the team leader was still on standby until the group was off the fell. Nearly two hours later one person from the walking party rang to say that they were now back at Walna Scar car park, safe and well.9 team members had already arrived at the base when the message to Stand Down was sent out","Coniston Old Man, April",2013,15,NA,14,NA,NA
"The weather was dry, sunny and warm.The team was called by NWAS (The North West Ambulance Service) to assist with the evacuation of a lady walker who had slipped near the Hydro Plant on the track running up Coppermines Valley. She had a suspected broken ankle.It was decided by the Team Leader that due to the location of the casualty a full team call out was not necessary. The landrover was able to get very close to her, and the Great North Air Ambulance was also being deployed. Pain relief was given and her leg was splinted. The lady was then taken by the helicopter to Furness general Hospital.There were three members of the team involved and the rescue took 1 3/4hr. Total man hours 5 ¼.","Coppermines Valley, April",2013,10,NA,13,NA,NA
"The team was asked to go to the assistance of a lady who had injured her ankle whilst walking along the track from Goat’s Hawse.She slipped on gravel and sustained a possible fracture. Two members of the team were already on the Coniston Fells so they were able to make their way to the casualty prior to the arrival of the rest of the team. Fortunately the North West Air Ambulance was able to attend and they arrived first, landing on the flat area on the Hawse. The paramedics treated the lady whilst the team prepared the stretcher. We carried her up to the helicopter which then airlifted her to Furness General Hospital.On this incident 14 members were deployed and the call out took 3 hours.","Goats Hawse, April",2013,6,NA,12,NA,NA
"A father and daughter were out walking and found themselves crag fast about 200mtrs up a steep slope south of the Buck Pike running up from Blind Tarn. Once again the snow conditions were significant in this call out. The casualties were asked to make themselves heard once they could see us nearing their location, so that we could identify the safest way to get them out of difficulty. They were safely belayed up on to the ridge and then accompanied back to the landrover. At the base they were offered warm drinks before returning to their vehicle.13 members were deployed and this time the rescue took 4 ½ hours.","Blind Tarn / Buck Pike, April",2013,NA,NA,11,NA,NA
"Third day on the trot thanks to these wintry conditions !!Once again a walker misjudged the snow conditions and found himself cragfast at the top of a gully. Dow Crag has a few inviting gullies for climbers and scramblers but to attempt these when there is a deep covering of snow and ice requires different expertise.Two walkers were attempting to get to the summit of Dow Crag and chose North Gully as a possible route. Unfortunately the last 10ft of the gully proved too difficult for one of the walkers and a call out was initiated. So we slogged our way up the fell for the third time in as many days, tackling the deep snow and drifts further up. Fortunately, with the use of ropes we were able to belay the walker to safety and accompany the two walkers down to the landrover via Goats Hawse.17 team members assisted with this call out which took 5 ¾ hours, a very long time due to the conditions.Please take care people !","North Gully, Dow Crag, April",2013,1,NA,10,NA,NA
"The team was called to the assistance of a walker who had become cragfast whilst descending South Rake, one of the gullies dropping from Dow Crag ridge.The hard compacted snow made it increasingly difficult for this man to carry on. Due to the heavy drifts and deep snow, the team was faced with a longer and more difficult walk in than usual. The casualty was therefore advised that we would be with him in about 1 1/2hrs. This obviously influenced the man because he decided to attempt to climb out of the gully. He successfully made it on to the ridge and was able to walk off the fell safely without our aid. The team leader asked him to let us know when he was back down, which he duly did.This meant that the 12 team members who were deployed were only active for an hour, although it was understood that the incident would not be closed down until we had received the final call from the walker to say he was safe.","South Rake, Dow Crag, March",2013,31,NA,9,NA,NA
"We were asked by the police to search for a man who was reported missing and there were concerns for his safety.The team split into groups and searched various places concentrating in the Walna Scar area, although other locations around Coniston were also checked. After 2 1/2 hours the team was stood down as there was no sign of the gentleman and no further information to work with.However, fortunately just before 18.00hrs, we were advised that the man had turned up safe and well.17 team members turned out for this incident.","Cove Quarry / Walna Scar, March",2013,30,NA,8,NA,NA
"This was a united effort involving 4 Mountain Rescue Teams, Coniston, Duddon & Furness, Langdale & Ambleside and Kendal as well as a RAF Helicopter.The Team was initially called out to the aid of two females suffering from suspected hypothermia. They were in a party of 5 walkers who were trying to make their way off the Coniston Old Man ridge via Levers Hawse, above Levers Water. Conditions were very bad following Friday’s and Saturday’s heavy snow, resulting in deep snow and high drifts, and an approximate wind speed of 35mph. This together with the wind chill factor would have meant that the air temperature could have been as low as -15 degrees C. Although chains were put on our landrovers, they struggled to get as far as usual up Coppermines Valley.As the call out progressed a third casualty was then identified together with two other people just before the northern end of Levers Water on the West side of the lake. Since there could now be a possibility of having to stretcher two casualties and hopefully walk the third out, a second request for attendance was therefore initiated. Once it was identified that conditions were extremely difficult especially due to the high snow drifts, Duddon & Furness Mountain Rescue Team were also called to assist. The lead team reported that one of the initial casualties was seriously hypothermic. The decision was made to call for the RAF Helicopter which could evacuate the ladies much quicker and safer. We also requested the assistance of Langdale and Ambleside Mountain Rescue Team, together with the Autopulse portable CPR device. Thankfully it wasn’t required and all three were airlifted to hospital by RAF Boulmer. Had the RAF been unable to winch the casualties to safety, carrying 3 stretchers in up to waist deep snow would have required a lot of man power and determination. Eventually we had 22 members of Coniston Team and personnel from 3 other teams (including Kendal Mountain rescue Team) all deployed in one way or another.Seven members of the original walking party of 15,who did not require medical assistance, were given a lift back down to the base where they were able to get warm through drinks and food. The teams made their way off the fell and back to the base. Hot drinks and choccie were supplied, although I think most people were looking forward more to descending on the pub.This was a strenuous call out which could have had even more serious consequences. So if you are thinking of going up in the fells at the moment, please be aware that it can be treacherous in places and perhaps re-consider your walk if necessary.The incident took 5 ¼ hours but I am pleased to say that at the time of writing all the ladies were doing well.","Levers Hawse, March",2013,24,NA,7,NA,NA
"22nd & 23rd March, South Lakeland Area/MillomOver the last 36 hours, about 14″ of snow has fallen over South and West Cumbria.The team deployed three landrovers yesterday and one today, helping people who were stuck in vehicles and assisting schoolchildren returning home. We also attended an incident in Millom working alongside other Mountain Rescue Teams.Please also take a look at the linked article below and take note from the advice being givenAvalanche warningIf planning a visit keep an eye on the forecasts and conditions…. take care out there folks!!",,NA,NA,NA,NA,NA,NA
"We have had another fall of snow over the weekend but because of the higher temperature it isn’t actually freezing, thus making the ground wet and slippy. This female casualty was walking around Torver Intake behind Tarn Hows when she slipped on the soft wet snow. Unfortunately she fell awkwardly sustaining a very painful injury to her elbow, which was possibly fractured.Some good torch communication from the knoll by her partner enabled us to locate the casualty. She was given pain relief whilst the arm was put in a splint and sling. Because the landrovers were able to drive within about a hundred metres the stretcher carry was very short. However, the rough track back down to the road meant that the vehicle had to go quite slow because of the painful nature of the injury.The Ambulance was already at the base waiting so she was soon on her way to Furness General Hospital.13 members attended the call out which took 1 ¾ hour.(And my job today was to look after their dog..couldn’t ask for a better task!!)","Tarn Hows, March",2013,18,NA,6,NA,NA
"Well we have had a very quiet start to the new year, so it was just a matter of time before the lull in the incidents came to an end.The Team was called to a similar incident as the previous one. A lady had slipped on wet grass whilst walking with a group near the Three Dubs Tarn on Claife Heights, and possibly fractured her ankle. Two landrovers went to her assistance and access was good because of the forest tracks in the area. She was given pain relief as the ankle was splinted. Unfortunately the ETA for the arrival of the ambulance was an hour and it was therefore decided to transport the lady to Furness General Hospital ourselves. Two team members were deployed with this task whilst the Base informed A&E of the situation.As we were now one landrover down our third vehicle came to the rescue to pick up the remainder of the team.12 Members attended this call out which took nearly 2 3/4hrs.","Claife Heights, March",2013,15,NA,5,NA,NA
"There has been a major slip above the portal, the portal itself is damaged and partially blocked. The first 50 feet or so of the tunnel is not in solid rock but the roof is man-made and we do not know the exact conditionRead more.",,NA,NA,NA,NA,NA,NA
"The team was called to the assistance of a lady who had slipped and injured her ankle. She had been walking along the Cumbria Way path which runs alongside Coniston lakeshore below Torver Common.However, as the landrover made its way to the casualty we were stood down. The Boating Centre at Coniston had deployed a boat to the jetty near to where the casualty was and paramedics were in attendance.Short and sweet!","Cumbria Way, Nr Torver February",2013,16,NA,4,NA,NA
"Snow had been falling thick and fast since the morning. We got a call from the police asking us to help a lady who’s vehicle had got stuck in the snow. Although we drove over Hawkshead Hill and along the road to Ambleside, we could not find a car with a passenger in who required our assistance, albeit there were a few stranded vehicles around. After contacting the police for a registration number we were informed that the lady had been helped and was now at work.So instead of feeling miffed we decided that at least we had training in putting the snow chains on and experiencing their effectiveness (we couldn’t have got up the hill without them), and of course the lady was safely at work!",Hawkshead Road February,2013,13,NA,3,NA,NA
"Just as the beautiful day was beginning to turn, and the rain starting to fall, we received a call out regarding two male walkers who had become crag fast above Levers Water.Two landrovers were deployed up the snow covered Coppermines Valley and our snowchains needed to be fitted in order to allow us access as far as possible. A strong turn out of 15 members enabled us to split into groups because the two walkers were not exactly sure where they were, which therefore necessitated approaches into the area from different routes. Although vocal communication could be heard it was difficult to locate their position at first. Eventually two team members made visual contact and proceeded to climb up to the men via a gully and the task of getting them off the fell safely, began.Due to their precarious position on the crags with the snow melting and conditions underfoot unstable, safety to both the team members and walkers was paramount. However with the use of ropes and belays they were assisted down to the lower slopes and eventually everyone made it thankfully back to the waiting landrovers ar Levers Water.It had been dark and wet for nearly 3 hours and on arrival at the Rescue Base hot drinks and chocolate were well received.The walkers had descended Brim Fell, but unfortunately were unable to find a safe route down once they had reached Raven Tor. They continued but became crag fast, neither being able to return up the crags or proceed any lower. Fortunately the two men were well equipped with clothing and footwear, including crampons, which meant that although cold, they were able to hang on to the rock and not become hypothermic during the incident. The call out took a total of nearly 4 1/2 hours because of the conditions.Just a message for everyone who goes out in the snow conditions we have just experienced, an ice axe and crampons is a partnership just as important as a map and compass.",Ravens Crag January,2013,26,NA,2,NA,NA
"Well, last year we averaged one incident a week and we have started early for 2013.We were called to the assistance of two walkers who had ascended Coniston Old Man. Unfortunately they had left their map & compass at home which meant that when the mist came down, they could not navigate easily off the mountain. However they seemed to know roughly where they were and decided to descend.The walkers were safely located on the Walna Scar track, a wide good track which runs from behind Coniston, below the Old Man, to Seathwaite in the Duddon Valley. They were taken by landrover back to their vehicles.Due to the nature of the incident, ie. experienced walkers who knew the area and were already making their way off the mountain, a full call out was not instigated. 5 team members attended and it took 1 ½ hours.",Walna Scar,2013,5,January,1,NA,NA
"The evening was damp, with a slight breeze. Sleigh bells could be heard in the far distance over Coniston below.Cumbria Police had been contacted by two gentlemen who had been doing some off road driving but unfortunately their land rover had got deeply bedded in mud. They needed help to extract their vehicle.Due to the fact it was Christmas Eve, soon to be Christmas morning, it was decided that the priority was to get the two men safely home. Recovery of their land rover, which was located not far from the car park at the Coniston end of the Walna Scar track, could wait until another day. They were first driven to the base so that details could be taken and then taken to the nearest home of one of the men.A full Team call-out was not initiated due to the circumstances. However 5 Team Members attended this incident which took 1 hour.",Walna Scar Road,2014,24,December,43,NA,NA
"It was a mainly dry evening, but cloudy with intermittent hail showers.We were asked by the North West Ambulance Service (NWAS) to assist with the evacuation of a lady who had passed out on a track near Lawson Park.After further communication it was confirmed that the casualty was actually at Lawson Park but it was not clear whether the ambulance could safely negotiate the forest track up through Grizedale Forest. It was agreed that the team would be deployed to pick the lady up and take her to the ambulance where the track meets the main road. A full team call out was not initiated as there were enough personnel who had already arrived at the base to manage the evacuation. However, whilst en route the Team was stood down as NWAS had indeed managed to drive to the house.9 Team Members attended this incident which took 50 minutes.",Lawson Park,2014,7,December,42,NA,NA
"It was a wet evening with a cool wind and mist on the higher ground.The team was asked to search for two male walkers who had rang to say they were lost on The Old Man. They had reached the summit but then lost the path in mist whilst descending to Goats Water.Members of the team were split into 4 small groups each equipped with search sacks which carried warm clothing and provisions. This ensured that all possible routes to Coniston Old Man and off the ridge would be covered. The casualties were found cold and wet, but safe, not far from Goats Hawse, just off the main track leading from the top of The Old Man. They were given warm dry clothing and then escorted safely down off the fell to Windy Gap where all three land rovers were waiting to return everyone to base where hot drinks, biscuits and chocolate bars were on offer.In total 11 Team Personnel attended this incident which took 3 hours.",Goats Hawse / Old Man,2014,21,November,41,NA,NA
"The weather was dry with very little wind and cool, but clear.We were called out to help a lady who had fallen whilst walking down the Walna Scar track south of Brown Pike and injured her leg. She had managed to walk ¾ mile before being unable to continue. Her husband had made her warm and comfortable by the path, before setting off to get help down in Coniston.One land rover left the base with the first aid equipment, followed shortly after by a second vehicle. With instructions of where to find the casualty, she was soon located not far west from Cove Bridge. The lady was given added warmth whilst being treated for a deep laceration to her lower leg, which due to a possible fracture was also splinted. There were also signs of a suspect pelvic injury and so consequently she was placed in a vacuum mattress for extra stability during evacuation. The casualty was then stretchered about 2/3rds of a mile to the land rover before being taken to the base. An ambulance was already waiting there to take her to Furness General Hospital.Her husband was also treated whilst at the base for abrasions to his leg, as he also had slipped whilst making haste to arrange help.13 Team Members responded to this call out which took 2 hours.",Walna Scar,2014,20,November,40,NA,NA
"It was a dry day and mild, but misty on the fells.The team was called to the assistance of a lady who had become separated from the main party whilst out walking around Latterbarrow, a Nature Reserve north east of Hawkshead .However, whilst the team gathered at the base and a search strategy discussed, the casualty was actually found and assisted by other walkers. We were therefore stood down before deployment.A total of 11 Team personnel attended this call out which took 22 minutes.",Latterbarrow,2014,6,November,39,NA,NA
"It was a clear, dry evening and we enjoyed the light of the full moon.The team was called to the assistance of a female walker. She had been taking photographs whilst wandering amongst one of the many disused quarries which are nestled on the lower slopes of Coniston Old Man. She slipped on wet grass and injured her ankle to the extent she was unable to continue walking.The first land rover was deployed with the first aid equipment and stretcher, and the second set off with more personnel soon afterwards. Once located, the casualty was made warm and given pain relief whilst her ankle was splinted. She had a possible fracture. Her dog was looked after by other team members. The lady was then stretchered down from the quarries to the land rover. On return to base she was handed over to the paramedics from the ambulance for her onward journey to Furness General Hospital.A total of 15 Team personnel attended this incident which took just over 2 hours 30 mins.",Saddlestone Quarries,2014,5,November,38,NA,NA
"A member of the public had kindly contacted the team having been concerned that a sheep had become cragfast (unable to move up or down) at the far end of Dow Crag.Was decided to use it as a training exercise and upon investigation it was confirmed that indeed a sheep had become somewhat disorientated, but once encouraged away from the edge and back onto the grassy slopes, was happily eating its way back up the crag.5 team members attended and it took 3 ½ hours.",Dow Crag,2014,1,November,37,NA,NA
"It was dark, damp and windy, with poor visibility. However, it was a mild evening.We were tasked to go to the aid of a lone male walker who had become disorientated and nauseous as darkness descended. He was well equipped and informed us that he was somewhere between Goats Water and Seathwaite Tarn in the other valley.Because of the location, Duddon & Furness Mountain Rescue Team were also called out. Whilst we set off to search around Goats Water, DFMRT covered the Seathwaite area with the intention of rescue parties meeting at Goats Hause. Fortunately the gentleman was found safe and well just south of Goats Water. He was accompanied back to the land rover and taken back to the base.10 Team Personnel responded to this call out which took just over 1 hour 20 mins.",Goats Water / Seathwaite Tarn,2014,26,Oct,36,NA,NA
"The weather was cloudy, with showers and strong gusts. Further up it was very windy and visibility deteriorated as the mist settled. The Team was called out to assist a young man who had slipped two metres on the loose wet stony path whilst descending from Swirl How. He had turned over on to his leg injuring his knee and consequently unable to bear weight on it.The first land rover was deployed to Levers Water where a team quickly set off up to Swirl Hawse, and then on to Prison Band. Due to the location and the subsequent difficult evacuation which may be necessary over such steep and rocky terrain, enquiries were made as to whether any air support was available. Fortunately a Royal Navy Rescue Helicopter was not too far away and was able to land two paramedics on the ridge plateau above Swirl How. They attended to the casualty whilst we were en route. In the meantime a second land rover had left the base with more team members. As soon as the stretcher was ready the casualty was made comfortable and then carried approx. 100 meters over the rock strewn fell side to the ridge. There was a short wait for the helicopter to return as it had left the scene to refuel. He was transferred to the Cumberland Infirmary, Carlisle. All rescue personnel, along with the casualty’s family who he had been walking with, then made their way back down to Levers Water.In total 12 Team Members attended this call out which took just over 4 hours.",Prison Band / Swirl How,2014,24,Oct,35,NA,NA
"The weather was sunny, dry with intermittent cloud. It was quite warm in the sun.The North West Ambulance Service requested our assistance with the evacuation of a motor cyclist who had fallen off his trail bike. He had a suspected fracture to his leg.The first party quickly left the base, followed by a second land rover bringing more team members. The Great North Air Ambulance was already in situ, as was a land ambulance, and the paramedics were already treating the casualty with pain relief. Once his leg was splinted, the team carried the gentleman about 20 meters by stretcher to the land rover. He was then driven a short distance up to the land ambulance for his onward journey to Furness General Hospital.In total 14 Team Members responded to this incident which lasted 1 1/2hours.",Hodge Close,2014,12,Oct,34,NA,NA
"Although there was an initial threat of heavy showers, the afternoon was mainly dry and sunny, with cloud at times.The Team received a request via Cumbria Police to assist LAMRT (Langdale & Ambleside Mountain Rescue Team). There was a fell race in action and due to the recent heavy rain, the conditions underfoot were very slippy. They had multiple casualties to deal with and therefore asked for assistance from Kendal and Coniston MR Teams.It was decided to send a small team of 6 to help LAMRT, whilst ensuring enough team members were still locally situated to respond to any rescue requiring our attention within the Coniston area. We were initially tasked to make our way up to Esk Hause to help with the evacuation of one of the casualties. Another Coniston Team member who had made himself available was asked to carry up part of a stretcher needed for a casualty on Bow Fell. However, whilst the main group was walking towards Rossett Gill at the head of Mickleden, we were advised that a helicopter was being deployed to pick up the Esk Hause casualty.We were then requested by LAMRT to assist with another unrelated incident which had occurred on Loughrigg. A female walker had slipped and injured her ankle. We attended this call out helping with the carry of half a stretcher, and subsequently with the evacuation of the lady off the fell to the road. A process of stretcher sledging and partial carry was used. We then returned to base.10 Coniston Team members were actively involved with these incidents which lasted 3 3/4 hours.",Esk Hause & Loughrigg,2014,11,Oct,33,NA,NA
"The weather was dry with dull cloud and a slight breeze.The team was called out to attend to a female mountain biker who had been cycling in Grizedale Forest. Whilst negotiating a manoeuvre on a trail above the car park at Machell Coppice, she had come off her bike. She was said to have been unconscious with a suspected broken collarbone.The first land rover was deployed very quickly due to the possible seriousness of the casualty’s conscious level. However, prior to arrival, the lady had fully regained consciousness and been able to walk down to the car park assisted by fellow cyclists. She had suffered an injury to her collarbone as well as a graze to the side of her head. After discussion with the party it was agreed that we would drive her partner back to Moor Top to pick up their vehicle, return to Machell Coppice and then they would journey on to Furness General Hospital. This was what the lady wanted and as she was fully conscious and had not been given any medication by us, it was an acceptable decision, especially as she was a qualified member of the medical profession herself. Whilst this was being arranged a sling was applied for comfort, and the rest of the team who had assembled at the base was stood down as no stretcher carry was required.9 Team Personnel responded to this incident which took 1 hour 15 mins.","Machel Coppice, East of Lake",2014,14,Sept,32,NA,NA
The weather was warm with hazy sunshine.We were called to help NWAS (North West Ambulance Service) with the evacuation of a local lady who had a medical condition which needed attention. Unfortunately a land ambulance was not available for quite a while and therefore the Great North Air Ambulance had been requested. They had landed in a field in the village and we were tasked to transport the lady to the helicopter.7 Team Members attended this incident which took 1 hour.,Coniston,2014,12,Sept,31,NA,NA
"The weather was sunny and warm with intermittent cloud.NWAS (North West Ambulance Service) requested our assistance again, this time with the evacuation of a lady near the shore of Lake Windermere. She had slipped on sloping grassand badly fractured her ankle.Whilst one land rover made its way to the scene, a team member who had been in the area, was able to locate the casualty and offer reassurance. We arrived at the same time as the Ambulance which meant the Paramedics were able to treat the lady whilst the stretcher was being prepared. She was given pain relief before her ankle was manipulated back into position so that it could be splinted.Once on the stretcher the casualty was driven to the North West Air Ambulance which had landed near Wray Castle, for her onward journey to the Royal Lancaster Infirmary. 11 Team Members responded to this call out which took 2 hours20 mins.","High Wray, Lake Windermere",2014,7,Sept,30,NA,NA
"The weather was sunny with intermittent cloud, and warm.NWAS (North West Ambulance Service) requested our assistance with the evacuation of a cyclist. He had come off his mountain bike and sustained a possible fracture to his lower leg.Two land rovers were deployed to the incident. The Paramedics on scene had treated the casualty with pain relief before splinting his leg. The team stretchered him about 400 metres to the waiting ambulance after which he was taken to hospital.15 team personnel attended this call out which took 1 hour 40 mins.","High Bowkerstead, Satterthwaite",2014,31,Aug,29,NA,NA
"Due to the time of the Call Out, it was dark. However, the night was dry and clear.The incident was initially processed through Langdale & Ambleside Mountain Rescue Team, but because of the location ie. Greenburn, it was transferred to Coniston. A DOE group was camping in the valley near the Greenburn Reservoir, which lies at the base of Wetherlam, bordering Little Langdale. Unfortunately a pan of boiling water was knocked over on to a young man’s leg causing a significant burn.Whilst the team made their way to the wild campsite, one of the team members who lived close by was able to meet up with another member from Woodhead Mountain Rescue Team (The Peak District) who had been camping at the same spot. They assessed the situation and were able to pass on necessary information. The casualty was treated on scene and then stretchered to the waiting land rover. It was a long uncomfortable ride down the track back to the road but an ambulance was already waiting to transfer him to the Royal Lancaster Infirmary.15 Coniston Team personnel and 1 from Woodhead MRT attended this incident which lasted 3 hours.",Greenburn,2014,NA,NA,28,NA,NA
"The weather was sunny, dry and breezy, but there was cloud and this made it cool out of the sun.The team was alerted to a couple who had become crag fast on Little How Crag, above Levers Water.The first party left the base and parked up by the Levers Water reservoir. As they made their way to the area the people were thought to be, a second group set of from base. Shouts were heard above Levers Water and contact, as well as the exact location, were established. Three team members equipped with ropes ascended the scree to the top of the crag. The casualties were found safe and well a little below the ridge. They were belayed to safety and able to walk accompanied down the fell via Levers Hawse. They were driven back to base.In total 14 Team Members responded to this incident which lasted 3 hours.","Little How Crag, Coniston",2014,NA,NA,27,NA,NA
"The weather was cloudy with heavy showers.We were called to the aid of a family of 5 (three of which were children) who had become lost on Holme Fell to the North of the village.Initially two team members, including the Team Leader, set off immediately to commence the search whilst the rest of the team gathered at the base. They were then split in to three more groups to cover the area extensively from different approaches. The family was found safe and well near Uskdale Gap and were accompanied back to their car which had been left at Stang End.In total 17 Team Members responded to this incident which lasted 2 hours.Open Space Web-Map builder Code //declare marker variables var pos, size, offset, infoWindowAnchor, icon, content, popUpSize; function initmapbuilder() { //initiate the map var options = {resolutions: [2500, 1000, 500, 200, 100, 50, 25, 10, 5, 4, 2.5, 2, 1]}; osMap = new OpenSpace.Map('map', options); //configure map options (basicmap.js) setglobaloptions(); // add a box displaying co-ordinates (mouse over map to display) makegrid() //add a postcode/gazetteer search box (see searchbox.js) addSearchBox(1); //set the center of the map and the zoom level osMap.setCenter(new OpenSpace.MapPoint(331630,500370),7); // add a marker pos = new OpenSpace.MapPoint(331590,500880); size = new OpenLayers.Size(33,45); offset = new OpenLayers.Pixel(-16,-36); infoWindowAnchor = new OpenLayers.Pixel(16,16); icon = new OpenSpace.Icon('https://openspace.ordnancesurvey.co.uk/osmapapi/img_versions/img_1.0.1/OS/images/markers/marker_red.png', size, offset, null, infoWindowAnchor); osMap.createMarker(pos, icon, null, null);}","Holme Fell, Coniston",2014,14,August,26,NA,NA
