date,incident,title
2018-01-20,Team called by NWAS. A walker close to Ghyll Pool near Potter Tarn had fallen and injured their knee. Casualty was treated at the scene then stretchered down and transferred to a Land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Ghyll Pool
2018-02-16,Team requested to assist with a search being conducted by Patterdale and Langdale & Ambleside MRTs. With the team preparing to depart for the Dunmail Raise area we were stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Patterdale Assist
2018-02-21,Team called by NWAS. A walker had slipped down a steep bank along the river Dee approx 1/4 mile from Sedbergh Golf club. With a few Kendal team members away due to various team commitments we requested the assistance of Kirkby Stephen MRT to help with the carry off.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"Slip down a bank, Sedbergh"
2018-02-24,Team called by Langdale & Ambleside MRT to assist with what could have been a long carry off. Fortunately a Coastguard Helicopter became available and we were stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"Langdale assist, Crinkle Crags"
2018-02-28,"To assist NWAS in todays snow event, we have loaned out our Mobile 3 to aid ambulance crews responding to difficult locations. Team member and NWAS paramedic Jules soon had M3 kitted out for her shift. Our remaining response vehicles are ready for call outs as normal.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Lending a 4×4 to NWAS to Help With Snow
2018-02-28,"Team called by NWAS, an enthusiastic sledder enjoying the snow near Huggs lane in Grange-over-Sands had taken a tumble and was suffering from a suspected broken collarbone. The casualty was able to walk down with assistance and was soon in the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sledger near Grange
2018-02-28,"Just as the team were returning to base we received a call from NWAS, a runner had slipped and sustained a leg injury whilst on Scout Scar. The casualty was treated and stretchered down to an awaiting land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Dislocated Patella on Scout Scar
2018-03-01,Team deployed M3 with 2 team members to assist Kirkby Stephen MRT with a steady flow of incidents occurring on the road networks to the east.   Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Assistance to KSMRT for Snow Related Incidents
2018-03-01,"NWAS requested assistance transporting two patients from the RLI in Lancaster to their homes in Sedbergh due to the snow. The team sent a vehicle and two team members, and the patients were soon home. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",NWAS assistance (patient transport)
2018-03-05,"Team paged by Cumbria Police. They had received reports of a sheep stuck in sands near Grange-over-Sands, with an incoming tide. Bay SAR were contacted, and this job was passed to them. No team members were deployed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Stuck Sheep
2018-03-04,"The team was put on standby to potentially help with welfare checks on remote homes still cut off by snow. After analysis of the cases, it was decided that the team was not required and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Bad weather welfare checks
2018-03-15,"The team was paged by NWAS. An ambulance had become stuck in mud near Grange-over-Sands, and we were requested to assist in getting it back on the road. After speaking to NWAS, it became clear that another ambulance had transferred the patient, and local assistance was recovering the stuck one, and so no aid from us was required. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Stuck Ambulance
2018-03-17,The team was called by Kirkby Stephen MRT to assist with transporting a number of stuck motorists from a cafe at Stainmore. The team despatched a Land Rover with two team members to assist. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,More Snow-related Incidents for KSMRT
2018-03-17,"The team was paged by Cumbria Police, asking for our assistance to help free a stranded motorist, just off the Tebay road. Our Mobile 3, finished with duties helping KSMRT on an earlier callout was asked to divert on the way home to assist. They were able to locate the motorists, and transport them to a hotel back in Kendal. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Vehicle stuck in snow
2018-03-18,"The team, already up and about for the night on previous jobs, was paged by NWAS. They had a patient that needed collecting from Sedbergh, but were unsure of their ability to get to the patient in the prevailing conditions. The team sent a Land Rover to provide assistance, but in the event it was not required and returned to base. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Request for Assistance from NWAS
2018-03-18,"The team received its fourth page of the evening, this time from Cumbria Police. Another two vehicles were stuck, near Selside, and our aid was requested. We sent two vehicles to the scene and were able to make sure everyone was safe. One vehicle was able to continue their journey, while the team provided the other car’s occupants with a lift home. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Further Stuck Vehicles
2018-03-18,"The team was paged by Bowland & Pennine MRT. They had been called to a job on the border of our two areas. With sufficient team members and a number of other agencies attending, the team was not required. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Alert for Fallen Walker, Arnside"
2018-03-24,"Team paged for a passed out walker. On investigation, it was discovered that this was in CRO’s patch, and the team was not called out. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Passed out Walker, Deepdale"
2018-04-09,Team paged by NWAS. A walker had sustained a lower leg/ankle injury close to Spring Bank Farm in Grange. Casualty was treated then carried to an awaiting NWAA Helimed  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"Fallen Walker, Grange"
2018-04-14,"Sometimes you have an accident, only to discover that you are surrounded by dogs and people in red jackets! This is what happened in the Howgills this afternoon as a paraglider received a lower leg injury following a heavy landing. Fortunately, handlers and dogs from Lake District Mountain Rescue Searchdogs were training in the same area. We deployed Mobile 4 to provide medical equipment and a stretcher, while NWAS deployed Helimed 08 to take the casualty to hospital. It is not often that so many individuals from the Lakes Teams get to work together in a situation like this. Searchdog teams involved included: Kendal, Keswick, Patterdale, Kirkby Stephen, Duddon, Cockermouth, Penrith, Coniston and Wasdale.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Paraglider, Howgills"
2018-04-27,Team called by Cumbria Police. A mountain biker had taken a fall along one of the tracks at Farleton Knott. Team members and paramedics treated the casualty for head and upper body injuries before transferring to Helimed 08 Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"Mountain Biker, Farleton"
2018-05-02,"The team was paged by Keswick MRT, requesting assistance with an ongoing search of the central fells for a missing fell runner, resuming at first light. The team sent 6 people and 2 search dogs, starting their searches from Honister. More details about this callout can be found on Keswick MRTs website. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Missing Fell Runner, Central Lakes"
2018-05-07,Team called by Cumbria Police. A walker had taken a slip whilst walking along Kentmere Pike. The casualty was unable to bear weight on the lower leg injury. With some team members away for the weekend we were grateful for the assistance of Langdale & Ambleside MRT in bringing the casualty down.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"Ankle Injury, Kentmere"
2018-05-25,Team called by NWAS. A walker had taken ill whilst out in the Lamb Howe Plantation area. After locating and treating the casualty we then had a small stretcher carry to an awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Lamb Howe
2018-05-27,Team called by NWAS. A group member staying at Tower Wood had taken a fall. Several team members were able to go direct to assist. With NWAS also in attendance we were able to stand down M1 en route.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Tower Wood
2018-05-05,"The team received a request for assistance from Langdale & Ambleside MRT. With a lot of the team helping to marshall the Staveley Trail Race that day, we were unable to send anyone to help. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","L&A Assist, Esk Pike"
2018-06-08,"08/06/2107: 20:06hrs: Team called by NWAS to assist with an incident in the Howgills, fortunately the GNAA was close to the scene and informed us we could stand down as we were preparing to leave base. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Beck House, Howgill"
2018-06-17,"The team was called by NWAS to attend a runner in reported cardiac arrest in Staveley. As the team was preparing, NWAS reported that they had enough resources and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Runner, Staveley"
2018-06-30,"The team received a request to assist Langdale & Ambleside MRT with a long stretcher carry from Esk Hause. It was a hot day, and plenty of fluids needed.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Esk Hause
2018-07-08,"Team called by NWAS to assist a walker who had received a lower leg injury along the Dales Way close to the Crook of Lune bridge. The casualty was treated by NWAS then stretchered to our Land Rover, where we could transfer them over the narrow bridge to the waiting ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Crook of Lune Bridge
2018-07-12,"The team was paged by Cumbria Police, reporting that a walker with a leg injury required assistance. The location of the incident, Small Water Tarn, is close to the border of our area, but actually in Penrith MRT’s area. They didn’t need our assistance, so the team did not mobilise. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Small Water Tarn
2018-07-18,"The team was called by Cumbria Police. A walker descending Wray Crag in Kentmere had fallen and had a suspected broken collarbone. The team sent two vehicles and was able to provide pain relief and assistance down to the track, from where we transported the casualty to our base in Kendal. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Wray Crag, Kentmere"
2018-07-28,"The team was called by Cumbria Police, requesting help to search for a missing person in the Staveley area. As the team was preparing our search plans and deploying team members, we received a report that the misper had been found and the team stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Search, Staveley Woods"
2018-07-28,"After being stood down for the morning’s search, the team was then called in the evening by Langdale Ambleside MRT. They had an incident at 3 tarns, and were requesting assistance with a long casualty transfer. The team sent a vehicle of team members, and provided some muscle power. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",3 Tarns
2018-07-31,Team contacted by Cumbria Police: a family group of four had got lost in the area around Kentmere pike. Phone messages suggested they were physically fine but lost. Team deployed 3 search dogs along a pre arranged route plan that they had left with their guest house. With no success we were in the process of planning a full team search at daybreak when we received the news that they were safe and well after an uncomfortable night on the fells.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kentmere
2018-08-04,Team called by Cumbria police after a walker had slipped whilst enjoying the views from Gummers How. Casualty was safely bought down after initial treatment. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gummer’s How
2018-08-10,"Team called by Cumbria police after a cyclist had come off her bike and injured her ankle. Fortunately, they were within sight of Mosedale Cottage, and were able to make it there for shelter. We sent some team members in via Gatescarth pass, another group from Wet Sleddale and requested assistance from Penrith Mountain Rescue Team as it was on the border of our two areas. The casualty was in good spirits and was evacuated via Gatescarth, and everyone was back by midnight. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Mosedale Cottage
2018-08-14,"Team called by Cumbria police reporting that a walker had become disoriented on Gummers How and wandered into steep ground. Using mobile phone location tools, we soon had a location for them, and team members were able to guide them back to safety.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Gummers How
2018-08-16,"Team paged by Cumbria Police requesting assistance with an injured person in a remote location in Longsleddale. After contacting the informant, it was established that they had made it to a vehicle and there was no need for the team to mobilise. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sadgill
2018-08-17,"The team was paged by Langdale Ambleside MRT requesting assistance with a potentially long stretcher carry from 3 tarns. As the team was en route to the scene, we received a call to say that the casualty was now able to walk, and we returned to Kendal. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","3 Tarns, Langdale"
2018-08-17,"With everyone back home from the day’s earlier callout we received another call, this time from Cumbria Police. A kayaker on the river Lune near Killington had a potential shoulder dislocation. We despatched a couple of vehicles and were soon on scene. We were able to stretcher the casualty to the roadside where an ambulance met us to transfer the casualty to hospital. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",River Lune
2018-08-25,The team was called to assist the police in recovering the body of a deceased male. The team’s thoughts are with the individual’s family. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Deceased Male
2018-08-25,"Team called by Cumbria Police, a walker in Borrowdale (just below Whinfell) had contacted them after a member of their party had stumbled and was unable to walk. Team members treated the casualty for a suspected hip dislocation then transferred them to an awaiting NWAS land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Dislocated Hip, Borrowdale"
2018-09-14,"The team was called by NWAS for help evacuating a casualty from a remote location. As we were arriving, we were stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Remote Property, Grange"
2018-09-19,"A party phoned the police for assistance, as it was dark and they were unsure how to get back to their vehicle. Their position was established as Troutbeck farm, and we were able to drive a vehicle to recover them. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Troutbeck
2018-10-11,"Team called by Cumbria Police. A walker on Arnside Knott had collapsed, and was not feeling well enough to descend. The team dispatched two vehicles, and arrived on scene just as the casualty was being helped into the NWAA Helimed, who had beaten us there.    Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Arnside Knott
2018-10-18,Team called to assist NWAS with the transfer of a casualty down steep and uneven ground close to Kendal Castle. After a short stretcher carry the casualty was soon in the ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal Castle
2018-10-21,"A busy day today for the team. We assembled early for some training with the MCA’s S-92 helicopter, but unfortunately the morning’s poor weather meant a postponement to the afternoon. Some team members took advantage of the free time for off-road driving practice. As the team were departing for the re-scheduled training, we were paged by Cumbria Police with a report of a walker needing assistance near Ashes Lane just outside Kendal. We were able to quickly divert and assist the casualty, treating a suspected lower leg break and transferring them to an ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Ashes Lane, Kendal"
2018-10-30,Team called by Langdale and Ambleside MRT to assist with an incident on Langdale Pikes. We assisted with the carry off down to the new Dungeon Ghyll via Loft Crag and Mark Gate.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Langdale Pikes
2018-11-05,Team contacted by NWAS for assistance with a casualty within Foulshaw Moss. Fortunately NWAA was able to land close by and the need for a carry off was not called for.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Foulshaw Moss
2018-12-02,"Team called by CUMPOL, a fell runner was in difficulties whilst running the Kentmere Horseshoe. We used the phonefind technology to locate the runner. We deployed to the reservoir and were quickly able to locate the runner and assist them down and warm them up. As the team were about to leave from the Church car park we responded to Callout No 2.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere Horseshoe
2018-12-02,"As we attended the earlier callout, a walker reported themselves in difficulty and gave a location as Thornthwaite Beacon. This point is actually the crossover point for four MR teams and as we were already close we picked up the call. We sent the team back up from Kentmere Church and also deployed more team members via the Troutbeck park track. The person was located and assisted down via the Troutbeck route, we then transported them back to their own transport at Pooley Bridge. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Thornthwaite Beacon
2018-12-05,Team called by Cumbria Police to assist with a potential search. As the team were preparing to depart we heard from police that the person was ok and we could stand down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Search
2018-12-09,"Team paged by Cumbria Police, reporting a walker with a lower leg injury. We identified this incident as being in Langdale Ambleside MRT’s area, and passed the call to them. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Alert
2018-12-12,Team requested to assist Langdale & Ambleside MRT in the search for a casualty with a hand injury somewhere in the vicinity of Crinkle Crags/Bow Fell. With an exact positon unknown but with information received Kendal Team were asked to search the routes from Cockley Bridge. Kendal search dog Fern was also on hand to join in with the search party from LAMRT. A succesful find by Kendal MRT ensured that the casualty was soon safely down and receiving treatment. As you can see from the images good navigation skills can be called upon at any time whilst on the fells.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Crinkle Crags
2018-12-14,Team called by Kirkby Stephen MRT to assist with a callout close to Wildboar fell. Fortunately a helimed was available and we were stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Wild Boar Fell
2018-12-24,"Team called by Cumbria Police, a fell walker had slipped and received a lower leg injury whilst at the summit of Cautley Spout. This location is covered by both ourselves and Kirkby Stephen MRT. We contacted them and they also sent some members to assist. It is always good when different MR teams get to work together, plus we put our steep ground training from the previous weekend into practise. The casualty was safely stretchered down and was taken to hospital by their own family.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cautley Spout
2018-12-30,"Team called by Cumbria Police after concerns for a walker who had become benighted on a section of the Kentmere Horseshoe. With limited information available, due to network coverage, they also called Langdale & Ambleside MRT as both the teams border run along the summit. With both teams deployed, Kendal searchdog Fern, with Handler Dave, found the walker close to the Yoke and was able to escort them down safely to one of our vehicles.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2019-01-04,Team called by NWAS to assist with a casualty who had fallen from a horse. After a short stretcher carry the casualty was soon transferred to the awaiting ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Witherslack
2019-01-12,Team called by Cumbria Police. A walker had slipped not far from the Hospice memorial on Hampsfell. Team responded and also contacted Duddon and Furness team who responded with extra hands in the event of a carry off. The casualty was treated on site for a suspected fractured humerus and fortunately was able to slowly walk down a short distance to Mobile 2. With no ambulance available (due to high call out numbers) we transferred the casualty to Furness General Hospital ourselves. Another first for our new vehicle as we proved its capabilities as an ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Hampsfell
2019-03-11,"Team called by Cumbria Police, a walker had been reported overdue by a concerned family member. We were informed of the walker’s route which was on Whitbarrow Scar. Just as we were departing from base we received the good news that the walker was safely back at their vehicle. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Whitbarrow
2019-03-13,"Team received a page from CUMPOL. There were reports of a car in a river. As we were mobilising, we heard that the Fire and Rescue Service were in attendance, and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sedgewick
2019-03-16,The team received a request from Langdale and Ambleside team for assistance on a protracted job. We sent a Land Rover and 5 team members to help. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Great Rigg
2019-04-15,"Team called by Cumbria police after receiving reports of a walker close to Underhelm Wood (The Helm) having a fall and suffering from chest and shoulder pains. We located the casualty and after assessment of injuries they were placed in a vacuum mattress and stretchered down to an awaiting land ambulance. We did however manage to attract some inquisitive locals, who seemed more interested in what our packs contained. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",The Helm
2019-04-25,Team members and Searchdog Fern deployed in the early hours to assist Cumbria Police with a potential misper search in Underbarrow. Police stood the team down once our designated areas had been searched. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Underbarrow
2019-04-28,28/04/2019: 16:54hrs: Team called by Kirkby Stephen MRT to assist with a motorcyclist who had crushed his ankle between a rock and his bike on the Breasthigh Rd that runs over Borrowdale. He was treated on scene and transported down in mobile 1 and then transferred to a land ambulance at Tebay. Always good to meet up with KSMRT and work together. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Borrowdale
2019-05-07,Team called by Cumbria Police. A young lad had taken a fall while adventure training in Great Tower Wood. A team member with a DofE group was nearby and helped to initiate the callout and oversee the scene. The lad had suffered a lower leg injury and was treated on scene by ourselves and Paramedics. He was then placed on our stretcher and into Mobile 1 for the short off road journey to the Ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Great Tower
2019-05-31,Team called by Cumbria Police. A mountain biker had taken a tumble close to the Nook on the Garburn Pass. Helimed 08 was also tasked to the scene. The casualty was treated on scene for a penetration injury to his thigh. Once the casualty was stable he was flown to hospital. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kentmere
2019-05-22,Team called by Cumbria Police. A fell walker had slipped whilst enjoying a walk near Grey Crag on Sleddale Fell. He had sustained a knee injury and was unable to continue. Team ascended via Sadgill and the casualty was soon found. It was decided that the best way down would be to head towards the Outdoor Pursuit Centre at Stockdale. We then transferred the casualty to a land ambulance. This rescue was made easier by the fact that the gentleman could give us an accurate grid reference. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Grey Crag
2019-06-05,Team called by NWAS. A young lad had received a head injury after being hit by a falling rock at Farleton Knott. Paramedics and team members were soon on scene. Due to the location (very steep ground) the stretcher was lowered using our talons and backroping. As a precautionary measure Rescue 936 was despatched from Caenarfon and airlifted the casualty to Alder Hey. We also received some excellent hospitality (tea and biscuits) from the locals at Townend Farm. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Farleton
2019-06-09,Team called by Langdale and Ambleside MRT to assist with a carry off from Three Tarns. 5 team members deployed and appreciated a nice break in the weather. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Three Tarns
2019-06-11,Team called by Langdale & Ambleside MRT to assist with an incident. Team stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gimmer Crag
2019-07-03,Team called to assist NWAS with a casualty who had sustained a leg injury whilst walking along a path close to Brigsteer. Some team members were just finishing a talk and visit to Kendal Care Home and were able to respond quickly. The casualty was placed on the NWAS scoop stretcher and carried the short distance to the land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Brigsteer
2019-07-18,"Team called by Langdale and Ambleside MRT to assist with a callout. We were stood down en route, which meant that we could divert to the ice cream parlour for some frozen refreshment. A team member also managed to get a birds eye view of the coastguard heli arriving. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Stickle Ghyll
2019-08-04,"Team called by Cumbria Police, a gentleman out with a walking group, close to Craggstones wood Sedbergh was feeling unwell. Two team members went direct and were able to escort the gentleman down with his walking group. He was assessed by a team Dr and we were able to drive him back to his accommodation while his group continued with their trek. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sedbergh
2019-08-11,Team called by NWAS and Cumpol. Team requested to attend a possible missing person incident on the river Kent near Sedgwick. Due to the nature of the incident we received assistance from both Duddon & Furness MRT and Cave Rescue Organisation who each provided 5 additional SRT trained personell. All 3 emergency services were in attendance along with MCA support and Bay Rescue. Teams stood down after searches conducted along river banks and the estuary. It was good to see multi agency services working alongside each other as well as combined MRT’s and CRO operating together. Many thanks to the MCA aircrew for the cake and the Fire Rescue Service for the brew. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,River Kent
2019-08-15,"Team called by Cumpol, a fell runner had sustained a fractured ankle just north of Overend Farm in Kentmere. Team arrived and assisted the paramedics from Helimed 58 with treating and transferring the casualty to the helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2019-08-20,Team called by NWAS. A rider was thrown from her horse close to Witherslack Hall. Team assisted in the transfer of the rider to the GNWAS helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Witherslack
2019-08-23,Team were called to assist LAMRT with an incident on Loughrigg Fell. The team were stood down as we prepared to depart. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Loughrigg Fell
2019-08-23,"In our second callout of the day, the team received a request for assistance with what turned out to be a successful search for a vulnerable person. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Staveley
2019-08-25,Team called to assist Langdale Ambleside MRT after a lady was seen falling from Jacks Rake. Unfortunately she had died from her injuries and we assisted with the recovery and evacuation. Our thoughts are with her family. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Staveley
2019-08-27,"Team called by Langdale & Ambleside MRT to assist with a carry off from Blea Rigg, a walker had sustained a lower leg injury and was treated on scene by LAMRT members before making the descent. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Blea Rigg
2019-09-03,Team called by NWAS to assist an ambulance crew with a casualty at Whitbarrow Scar. Team stood down as we prepared to depart. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Whitbarrow Scar
2019-09-10,"Team received a request from Langdale Ambleside Mountain Rescue Team (LAMRT) . They had two call outs at the same time and could we pick up the second. Two females had reported themselves benighted close to Easdale tarn. They had used the What3Words app which, once converted to a grid reference by our Sarcall software, gave us a location. A member of Langdale team who had joined in the search managed to locate them and confirm that they were fit and well. Once we were on site we all guided them back to Grasmere. We would also like to thank Lakes Search dogs who were prepared to assist if needed and also Kirby Stephen MRT who provide additional manpower should a more extensive search be required or if a stretcher carry was required. The What3Words app is being used increasingly by persons finding themselves lost or in need of assistance. We would like to remind people that it is a location finder and not a means of navigation. As the nights draw in it is a timely reminder that adequate navigational tools (map/compass), torches, extra food and drink and any additional layers of inner/outer clothing are items to consider putting in your rucksack. Finally, please watch your step as common toads are on the move enjoying the wet conditions. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Easedale Tarn
2019-09-20,Team called to assist Langdale Ambleside MRT in a carry off along the Stickle Ghyll path. A walker had sustained a lower leg injury and she was safely stretchered down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Stickle Tarn
2019-10-12,"Team was called to assist with Langdale Ambleside MRT with an incident on Crinkle Crags. En route, the team was diverted to a new callout on Farleton Knott. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","L&A Assist, Crinkle Crags"
2019-10-12,"Whilst travelling to a previous callout, the team was notified of NWAS requiring assistance with an incident on Farelton knott. The team diverted to this incident. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Farleton Knott
2019-10-13,At 02:27hrs this morning we were called by LAMRT to assist with one of the Lakes in a Day competitors who was in difficulty. With a team member in contact with the competitor and 3 heading direct those leaving from base were stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"L&A Assist, Fairfield"
2019-10-13,"At 11:50hrs we were called by Cumbria Police concerning a gentleman who had suffered a severe lower leg injury at School Knott Tarn, although this location is just outside our area and within LAMRT area we already had team members at base doing cas care training and LAMRT agreed it was quicker for us to deploy. The casualty was treated and stretchered to an awaiting ambulance Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",School Knott
2019-10-22,"Start of a busy Tuesday evening for the team, we were first called by NWAS after reports that someone had taken a fall on the crags at Hutton Roof. On arrival we treated the casualty for a lower leg injury. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hutton Roof
2019-10-22,"Minutes after transferring the casualty to the awaiting ambulance in our previous incident, Cumbria Police contacted the team and the Cave Rescue Organisation CRO reference a missing vulnerable person in the Barbon area. Shortly after establishing an RV point we heard the good news that a search party from CRO had successfully found the person. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Barbon
2019-11-01,Team called by Cumbria Police after 2 people encountered difficulties on Gummers How. Team members soon on scene and after confirming no injuries accompanied the walkers down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gummers How
2019-11-09,"Team called by NWAS, they were dealing with a casualty who had suffered a lower leg injury on steep ground at Kendal castle. Casualty care training was just about to commence at base so we were able to get on scene quickly and with sufficient numbers stretchered the casualty down to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Castle Hill
2019-11-15,"Team called by Cumbria Police, a lady had sustained a lower leg injury whilst fell walking near Grey crag on Sleddale Fell. The casualty was treated on scene and we are grateful to members of Duddon and Furness MRT who assisted us on scene and with the carry off. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Grey Crag
2019-11-16,"We were notified by Penrith MRT of an ongoing search in their area. We monitored the developments, and fortunately the persons were located before we needed to assist. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Penrith Assist
2019-11-20,"Team were notified of an incident on Hampsfell, but were stood down while on route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hampsfell
2019-11-30,"The team were notified of a male stuck in the sand in Morecambe bay. After ensuring that sufficient CFRS personnel were attending, the team remained on alert only for this incident. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Morecambe Bay
2019-11-30,Team contacted by Langdale Ambleside MRT to assist with a carry off in Easdale. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Easedale
2019-12-07,Team called by NWAS. A young lad had taken a tumble on his mountain bike in the woods nr Bowston. Fortunately a first responder on scene was Ex Kendal MRT and also one of our team members lived nearby. This enabled a quick response and ensured the team was well prepared on arrival. The young lad was soon treated and stretchered to the awaiting land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Bowston
2020-01-18,Team called by Langdale Ambleside MRT to assist with a potential long carry off after a fell walker had taken a fall and sustained an injury. The arrival of R936 ensured a shorter carry and the casualty was soon on his way to hospital. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Harrison Stickle
2020-02-03,"The team were paged by Cumbria Police, with a report of walkers lost on Gummers How. Using their location from their mobile phone, and a bit of local knowledge, it was possible to talk the walkers down to the road, where a team member met them and returned them to their car. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Gummers How
2020-02-09,"The team was paged by NWAS requesting assistance for a nurse getting access to a patient. The team prepared to assist, but in the end access was possible and there was no need for us to deploy. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Milnthorpe
