name,date,duration,members,Description,incident
Tryfan,2010-01-26,01:00,2,"A group of 13 males left the road at approx 11:00hrs for the summit. They were very slow moving and did not reach the summit so started to descend. After some time, the pair split from the main group during the descent. On reaching the road, the main group became concerned for the safety of the overdue pair and called 999. Two Team Leaders responded to the initial call and, on arrival into the Valley, found that both people had arrived safely at the road. They were an exceptionally inexperienced large group who had little idea of the mountains.",55
Glyder Fach,2010-01-24,02:20,1,"A husband became concerned for his wife who had left him at Caseg Ffraith and continued up on to Glyder Fach but had not been seen for over 2 hrs. The team were called out to search for her, but luckily another walking party found her heading in the wrong direction. She had also injured her wrist in a minor fall. Due to the age group and time, a helicopter from 22 Sqn attended and flew her and her husband to Oggie Base.",54
Cwm Bochlwyd,2010-01-23,02:45,1,"An 80 year old male walker had a long day walking with his sons up Cwm Tryfan, across the Glyderau and down the Gribin ridge. He became very tired and was struggling to get down so his sons justifiably asked for assistance. A stretcher party went to his location and carried him down to the road.",53
Cwm Idwal,2010-01-20,03:10,1,"Whilst walking the path up to the Devil's Kitchen a 72yr male became unwell and collapsed. The Team sent a hasty first aid party in and, although the casualty appeared stable, it was decided that air evacuation to hospital would be the best option. 22 Squadron were scrambled and took him to Ysbyty Gwynedd and his family walked down with the Team.",52
Carnedd Llewelyn,2010-01-19,03:15,1,A male walker attempting a charity walk across Snowdonia started to suffer with painful knees as he was crosssing the Carneddau. On the ridge from 3185 to Carnedd Llewelyn he could go no further so the event marshall requested assistance. A hasty party was sent to the location and NWP heli evacuated him to Oggie Base as 22 squadron were not available.,51
Braich Ty Du,2010-01-16,03:25,1,"After a day out walking on the Carneddau this gentleman made a navigational error from the summit of Pen yr Ole Wen and started to descend the Braich Ty Du face. Unfortunately, he followed a gully downwards and descended terrain that he could not reverse. He eventually reached a point where he could not go up nor down, so called for help. Once his location was ascertained, a small group of team members were able to reach him and short rope him off the mountain.",50
"Afon Coch, above Aber Falls",2010-01-16,05:00,3,"A walker found a tent,sleeping bag and food, possibly abandoned, near the Afon Coch above Aber Falls. NWP asked the team to investigate and retrieve the articles, so a small party went to the location and brought everything down for examination by the police. No further action required.",49
Y Gribin,2010-01-12,02:45,1,"Nero, a 10 yr old, 30kg black labrador from Chester had been up Y Garn on Saturday morning, then up the screes to Glyder Fawr. He was suffering from raw pads and failing back legs. His owner decided to abort the trans Glyder walk and escape down the Gribyn Ridge. Assisted by passers by she started down the ridge but soon realised she need more help. Four team members were deployed with a large bag and a pack frame. Initially, the dog was bagged and carried on the stretcher. This was hard work and the dog was hot in the bag. It was decided that three would take it in turns to carry Nero over their shoulders down to Cwm Idwal and then to the car park. The fourth team member escorted the owner who was glad to be re-united with Nero at Bryn Poeth when she arrived a good 15 minutes after he had!",48
Glyder Fach,2010-01-10,01:15,1,"Whilst walking the 3000s, this male arrived at the Cantilever on Glyder Fach in thick cloud and panicked. Several team members were preparing to assist when the cloud cleared and he was advised of the best route off the mountain back to the road.",47
Glyder Fach,2010-01-09,NA,2,"Two friends were attempting the Welsh 14 Peaks over a period of 3 days. They were late setting off from Nant Peris on the second day and were in cloud for most of the day. They reached the summit of Glyder Fawr in the early evening and tried to navigate across to Glyder Fach but became lost in the boulder field below Castell y Gwynt. At this point they felt unable to continue and could not erect the tent they were carrying, so 2 parties were sent out to locate them and walk them back off the mountain.",46
Llandudno,2010-01-08,01:40,1,"A vulnerable female was reported missing from a hotel in Llandudno in the early hours. OVMRO and SARDA were requested to help the NWP locate the missing person. Luckily, as search managers were arriving on scene the lady was found safe and well in the hotel.",45
Bristly Ridge,2010-01-02,02:20,1,A party of 3 were scrambling up the first gully on the Bristly Ridge when the female lost confidence and became stuck. The group were well equipped so one of them climbed above the girl and was just about to put her on a rope when she slipped and fell 2m injuring her head and arm. A passer by descended to Bwlch Tryfan to get a phone signal to call for help. A hasty party were deployed on to the hill and a group of firemen close by were sent to the incident site. 22 Squadron were also requested and arrived shortly afterwards. The casualty was flown to Bangor for treatment and the rest of her group walked down to Oggie Base.,44
Tryfan,2010-01-02,00:50,2,"A man informed NWP and the Team that he had found 2 unaccompanied, possibly lost, young boys on the North ridge of Tryfan. He was prepared to escort them to the road but asked that we then take over with their care. However, 30 mins later he informed us that they had been reunited with their parents. No further action taken.",43
Marin trail above Llanrwst,2010-01-01,00:50,1,A lady walking her dog in Gwydyr forest became disorientated. Although she followed several tracks and was actually on the signposted Marin trail she lacked the confidence to continue. She was told to stay at one of the marker posts whilst a Team member walked up to collect her.,42
Cwm Idwal,2010-01-01,01:20,1,"A well equipped and experienced mountaineer took a short fall and sustained a facial injury. The team sent two members to assist the casualty and party back to the roadhead, and the casualty was then taken to YG for treatment.",41
Llanrwst,2010-01-30,00:30,1,"A woman walking in the forestry came across a man apparently collapsed on the track. She immediately called for help. However, it soon became clear that the man was in fact sleeping and possibly intoxicated! A small party of the Team who were about to be deployed were stood down.",40
Milestone Buttress area,2010-01-30,03:20,1,An inexperienced couple were making their way down the North Ridge of Tryfan when they strayed on to steep ground above Milestone Buttress. The male slipped and twisted his ankle and they felt unable to continue unaided. A small party went to the location and helped the casualty to walk a short distance to the stretcher party. He was then carried a short distance before 22 Sqn arrived on scene and flew him to hospital. His partner was then assisted off the mountain.,39
Llanfairfechan,2010-01-25,01:30,1,The Team were called to search for a missing vulnerable male who had last been seen at 6pm the night before. Team members and SARDA were on route to the area when the missing person turned up safe and well at Aber. No further action taken.,38
Afon Ddu,2010-01-18,03:15,1,"A female fell whilst scrambling in the Afon Ddu gorge injuring her leg, chest and arm. A small party of team members treated her injuries and extracted her from the gorge for a short stretcher carry to the ambulance.",37
"Marin Trail, Betws y Coed",2010-01-17,01:13,1,"The casualty was one of a party of 7 MTB’ on the Marin trail who had fallen off and broken his collar bone, on Ride Fast Ride Free section. One of the group cycled down to the car park to get a phone signal and request help. As the casualty was only approx 100m from a forest road and walking towards it, the Team Leader on scene decided to call an ambulance rather than the team. The casualty was taken to hospital for treatment and discharged later that day.
The group were well equipped and well experienced; it was just an unlucky fall.",36
Cneifion Arete,2010-01-08,04:55,1,"A group of friends decided to climb Cneifion Arete. Whilst the rest of the group chose the direct start, the casualty chose to scramble up the broken ground to the side of the ridgeline. A member of the public saw him fall about 200ft back down the mountain and immediately called for help. 22 Squadron were diverted from another incident on the Carneddau and were able to fly the casualty quickly to hospital.",35
Cwm Caseg,2010-01-08,03:30,1,"This experienced fell runner was competing in the Carneddau Race when he slipped and unluckily hit his leg on a rock. This resulted in a deep laceration over his knee area, and a subsequent call for help. A ground party started up from Gerlan, and 22 sqn were on route but the heli got diverted to a more serious incident. A large number of troops were deployed on foot and the casualty was evacuated by stretcher back to the roadhead for transfer to hospital by his wife.",34
Crib Lem,2010-01-02,05:55,1,This lady was scrambling up Crim Lem when she slipped on a slab and tumbled a short distance. The first report was of a shoulder injury so a small group of Team members were sent to the location whilst the rest of the Team were attending the other incident. The casualty was found to have more serious injuries so 22 squadron were asked to winch her before the other casualty. They were both flown to Ysbyty Glan Clwyd because Ysbyty Gwynedd was full.,33
Craig yr Ysfa,2010-01-02,06:10,1,"A male climber sustained a leader fall on the first pitch of Amphitheatre Buttress, Craig yr Ysfa. He was lowered to the base of the route but due to his injuries was uanable to walk. A large group of Team members went straight to the location, followed shortly afterwards by 22 Squadron. The winchman was down with the casualty when the heli was called to a more serious incident on Snowdon. The Team continued to stretcher the casualty over very difficult ground into Cwm Eigiau to be picked up by the heli a short time later.",32
Gribin Facet,2010-01-01,03:11,1,The lead climber of this pair put her foot in a crack and then could not remove it as it had become firmly wedged. The Team were just returning from the previous incident so diverted to this job. It took a lot of washing up liquid and manipulation to finally free the foot. She was then able to be lowered off the crag and walk to the road with very little assistance. A very unlucky event!,31
Yr Orsedd,2010-01-01,02:00,1,"The casualty was stood on the small rocky summit of Yr Orsedd admiring the view but tripped when turning around. This resulted in a short tumbling fall on a scree slope where he sustained several cuts and abrasions. He was the leader of a walking group who were unhappy to continue so they asked for help to walk him off the mountain. Luckily the Team could drive a track to within 200m of his location so were quickly on scene. After assessment, the casualty was happy to walk to the waiting vehicle and was taken to Ysbyty Gwynedd for treatment.",30
Tryfan,2010-01-01,01:55,1,"A group of friends were scrambling on the lower part of the North Ridge of Tryfan when one of them lost her footing and took a tumbling fall of about 50 ft over rocky ground. She had possible ankle, spine and chest injuries so 22Sqn were requested whilst the ground part went straight to the location. She was then flown to hospital for further assessment.",29
Afon Ddu gorge,2010-01-28,02:30,1,The Team were asked to assist Welsh Ambulance Service with a 12 year old boy who had fallen in the gorge and sustained a knee injury. The boy was extracted from the gorge on a rope system and then carried a short distance by stretcher to the ambulance.,28
Moel Siabod,2010-01-14,04:00,1,"The casualty was part of a group of University students who had left Capel Curig YHA and planned to walk around Moel Siabod. She had slipped off a small cliff, had injured her hips and back and was reluctant to move. They were unsure of their location and could only give a 4 figure grid reference! Luckily, 22 Squadron were training in the area and could attend the incident whilst ground troops were deployed. Two MRT members were lifted to the incident site to escort the rest of the party down the mountain, and the casualty was flown to hospital.",27
Aber Falls,2010-01-13,04:10,1,The Team were asked to assist with a body recovery from top of Aber Falls. A combined effort with 22 Squadron enabled the body to be flown to Ysbyty Gwynedd.,26
Tryfan,2010-01-09,02:30,2,Two poorly equipped and inexperienced friends decided to climb the North Ridge of Tryfan. They reached the steeper part of the ridge and opted to traverse on to the West Face where they promptly became stuck. Unable to move up or down they called for help. They had no idea which mountain they were on so a Police Helicopter initially was sent out to locate them. Then a small ground party went to their location and 22 squadron kindly offered to lift them off.,25
Moel Siabod,2010-01-06,02:45,1,"This well equipped and experienced couple were walking up Moel Siabod from Plas y Brenin when, approx ½ kilometre before the summit, the female was blown over by a strong gust of wind. She sustained a painful wrist injury and a chest injury which initially caused her difficulties with breathing. They rang for help and then sensibly decided to slowly move down the mountain as the weather was worsening. A small party of team members walked up to meet them and assisted them back to their car. They had adequately splinted the wrist injury so no further treatment was carried out, and they were directed to the local hospital.",24
Tryfan,2010-01-05,05:00,2,"Father and son ascended the North ridge of Tryfan, opted for the Eastern Traverse rather than the top part of the ridge, and then became stuck on steep snow in the top section of North Gully. Totally inappropriate footwear (trainers) and a lack of iceaxe or crampons did not help the situation. The father lost all confidence to move up or down and the team were sent to extract them. They were roped up to the top of North Gully and escorted down Western Gully back to the road.",23
"Horseshoe Pass, Llangollen",2010-01-04,10:00,1,"OVMRO were asked to assist NEWSAR in a search for a missing vulnerable male, whose car had been found abandoned at the Horseshoe Pass. An all day search of difficult terain did not find him so the Team were stood down. He was subsequently found safe and well in Chester.",22
Tryfan,2010-01-27,04:10,2,"The pair scrambled to the top of Tryfan and then descended by the South Ridge towards Bochlwyd but left the normal path too soon and became stuck on a section of steep rock unable to go up or down. Recognising their plight, they sensibly phoned for assistance. A small party of Team members were dispatched to assist the pair using ropes etc., and then escorted them to Ogwen.",21
Bwlch y Tri Marchog,2010-01-19,05:35,8,A member of the public reported finding a 'military grenade' on the mountain. NWP asked OVMRO to locate the device and report its nature. A small party went to the location and found a harmless smoke canister. No further action taken.,20
West face Tryfan,2010-01-15,01:00,2,"A group of friends were descending the North Ridge of Tryfan when one of the group lost confidence and felt unable to continue down the steep rocks. Three of the party continued down the ridge whilst two opted to find another way down. They strayed in to Notch Gully on the West Face, but soon realised this was a mistake as they were unable to retrace their steps back to the ridge. The Team were requested to help and asked for the assistance of 22 Squadron as little daylight remained. The pair were winched from the mountain and dropped off at Oggie Base.",19
Bethesda,2010-01-12,NA,1,The Team were asked to search for a vulnerable male missing from home. SARDA searched the immediate area around his house but no further searches will be carried out until more inormation is obtained by NWP.,18
Bochlwyd,2010-01-08,02:05,1,"This lone walker had grabbed an unexpected opportunity for a quick walk in the mountains. He walked up Cwm Tryfan, croseed Bwlch Tryfan and descended by Llyn Bochlwyd. However, on the steep descent from Bochlwyd he strayed on to icy ground, slipped a couple of times and lost confidence to continue. A small party were quickly at his location and roped him on to safer ground.",17
"Grooved Arete, Tryfan",2010-01-07,03:00,2,"The pair set out late for this long mountain route never having done a long mountain route. Although they had been moving reasonably well, they were getting onto more serious ground as darkness approached and they sensibly decided to try to retreat but their abseils were limited due to only having one 50m rope and no local area knowledge. Parties of team members were sent to climb up the area of Grooved Arete to evacuate the pair who were now getting cold as temperatures quickly dropped. The RAF helicopter was requested to assist and was fortunately able to winch both climbers to safety in some spectacular night flying. The pair were very lucky to have escaped without any injury from a serious mountain route that was in almost alpine conditions.",16
Llanrwst,2010-01-05,01:30,1,"The male had been out for a late meal with his family and became very drunk. A domestic dispute started and he ran into the river and remained on some silt banks in shallow water. The team were called to provide water safety cover alongside the F+RS in case the very abusive person ran into deep water and got into more trouble in the dark. After about 90 minutes of somewhat heated discussion between the individual and his family, he agreed to come to the riverbank and the problem was resolved.",15
Carnedd Dafydd,2010-01-27,02:30,1,This inadequately equipped group had had a long day walking in the mountains when one of the party complained that he was cold and his leg was becoming numb. They had no equipment with them and were wearing lightweight clothing and trainers although full winter conditions were still obvious on the mountains. They asked for help but were advised to eat and keep the casualty moving. Another passing group persuaded them to move and 2 team members were sent to meet them and ensure they got off the mountain safely.,14
Idwal carpark,2010-01-20,00:40,2,"A phone call was received from a man who wanted to report his two friends overdue from a winter climbing trip in the Nameless Cwm. They had failed to turn up at Idwal carpark and he was concerned for their safety. The Team Leader went to meet the informant to discuss options, but luckily the two friends turned up as they were talking. False alarm with good intent.",13
Glyder Fawr,2010-01-13,03:05,1,"A group of friends decided to ascend the snow slopes covering the Glyder Fawr screes but soon realised that they were not equipped for the winter conditions underfoot. Three of the party continued their route whilst the remainder tried to retreat back to Llyn Y Cwn. One male slipped and fell about 30ft down a snow slope, hitting a boulder and injuring his lower leg. Two team members were flown to his location to assist the winchman, and then he was flown to hospital whilst the rest of the group were helped down the mountain.",12
"Tower Slabs, Cwm Cneifion",2010-01-13,03:30,1,"The casualty took a 30m fall whilst ice climbing on Tower Slabs, Cwm Cneifion, injuring his arm and face. Luckily, a team member was climbing in the adjacent Tower Gully and was able to go to his assistance immediately whilst the Team and 22 Squadron were scrambled. He was lowered a full rope length to easier ground and was able to walk to a suitable winching site. He was then flown to hospital for further treatment.",11
Trefor,2010-01-13,05:00,1,"Assisted Aberglaslyn MRT, SARDA and other North Wales teams, in a search for missing 68 yr old woman, last seen 8 days ago.",10
Y Garn,2010-01-03,06:30,2,"These well equipped mountaineers had been for a long day out climbing on the Glyderau. They descended from Glyder Fawr late in the afternoon and followed their planned route to the summit of Y Garn. They looked at their intended descent route down the NE Ridge, but in low cloud and fading light felt unable to continue that way. They were unable to find an alternative route down. The initial phase of the rescue was delayed as no contact phone number had been obtained, and the Team had limited information. However, contact was eventually made, a grid reference obtained and 2 team members were deployed to escort them from the mountain.",9
Bristly screes,2010-01-30,01:05,1,A male hillwalker was ascending the snow covered Bristly Screes when he slipped and fell about 50m sustaining a chest injury. A hill party was dispatched immediately and 22 sqn requested. The casualty was located and then flown to hospital for treatment.,8
Glyder Fawr,2010-01-30,01:30,2,"A group of friends were ascending a snow slope when the female slipped and fell back down the slope, and in doing so injured both her ankles. One of the group went to help her and also fell injuring his ankle. 22 Squadron located the casualties, winched them aboard and flew them to hospital for treatment. A large number of troops had gathered at Base ready to support the helicopter evacuation.",7
Cwm Lloer,2010-01-29,05:50,1,"This pair of friends had arrived in the Nant Ffrancon about midday and decided to have a short walk on Pen yr Ole Wen. They were very experienced and well equipped. After reaching the summit they realised that the weather was deteriorating and decided to descend the East Ridge. Tragically, one of the pair slipped on ice which caused him to fall for some distance down one of the gullies into Cwm Lloer.
22 Squadron and Team members were deployed to the location to extract the informant and the casualty. Sadly, the casualty was pronounced dead on arrival at the hospital.",6
Aber Falls,2010-01-13,03:30,26,"A walker reported finding a head torch, still switched on, in the river below Aber Falls. It was in an area where several avalanches and snow slides had occurred. NWP asked the Team to investigate in case a person had been caught in the avalanche. A large search party plus 3 SARDA dogs covered all the avalanche debris plus the surrounding area but nothing was found.",5
Ysgolion Duon,2010-01-07,03:25,1,"The lead climber was near the top of a route on the Black Ladders when he slipped and took a fall of about 100m, ending up below his belayer. In the fall he injured his arm and ankle and so rang for help. Whilst the Team organised a hill party and 22 Squadron were on route, the climbing pair managed to lower/abseil themselves to the bottom of the route. This allowed 22 Sqn to easily locate them and winch the injured man aboard. His friend opted to walk out and was met by 2 Team members 20 mins from the road.",4
Gwynedd,2010-01-05,233:00,6,OVMRO Team members and the Team landrovers were used over a 10 day period to assist the Welsh Ambulance Service in snow and ice conditions.,3
Devil's Cellar,2010-01-02,06:25,1,"The pair set off late for the route and, at the onset of darkness, a male took a 40m fall whilst leading the second pitch of Devil’s Cellar climb. He was lowered to the snow slope by his second and then assisted by other climbers. Due to the location very close into the crags, the helicopter could not winch and so the MRT lowered the casualty about 150m down the snow slope to a winching location. The difficult weather conditions resulted in icing problems for the aircraft, which subsequently had serious problems whilst flying to hospital. This was a challenging rescue for all concerned.

Matt Sutton has written a detailed account of the rescue.",2
Ysgolion Duon,2010-01-01,01:50,1,Stand-by. Two climbers reported seeing lights on Eastern Gully area of the Black Ladders which suddenly went out. A Team member met with the informant for further details but it was decided to take no further action..,1
Cwm Eigiau,2011-01-27,02:00,1,A male walker became lost in the dark on his descent from the Carneddau to the car park at Cwm Eigiau. Although he was well equipped and could give an accurate grid reference of his location he was unwilling to walk on a bearing back to the carpark. Two team members located him and escorted him back to his car.,139
South Ridge Tryfan,2011-01-26,04:30,1,"A male, in a group of 7 friends, slipped whilst descending the South Ridge of Tryfan and sustained an ankle injury. His friends helped him down to Bwlch Tryfan as the Team were going up to him. With strapping and pain relief he was able to slowly walk down Cwm Tryfan assisted by team members.",138
Glyderau,2011-01-17,01:10,1,A solo male walker was reported as being lost in a white out on the Glyderau. He had rung a friend who called 999 but had little useful information. A search was not started immediately due to the lack of info but later troops from OVMRO and RAF Leeming were deployed when there was new info that he might be on the Gribin Ridge. Shortly afterwards the teams were stood down as the man had made his way down to Llanberis and was safe and well.,137
Y Garn,2011-01-17,05:20,1,"A male walker fell approx 500ft down Banana Gully when a cornice collapsed under him and triggered an avalanche. A female also fell about 30m down the gully but managed to stop herself with her ice axe. A joint effort from OVMRO, RAF Leeming MRT and 22 Squadron enabled many troops to be flown to the scene and for the casualty to be recovered from the avalanche debris and brought down the mountain on a stretcher. Sadly he did not survive.",136
North Ridge Tryfan,2011-01-11,04:54,1,This well organised group were ascending the North Ridge when a 29yr old male slipped / stumbled and sustained an injury to his knee. This was an aggravation of an injury sustained the previous day on Snowdon whilst assisting another group that were in trouble. The group succeeded in getting the casualty down 70-100m of the Ridge but the pain and ground conditions stopped further progress. The full group were escorted off the hill by MRT.,135
Cwm Eigiau,2011-01-09,01:10,1,"A male fell 100m whilst descending a snow gully in the dark. Luckily his friend managed to reach him and tried to call for help, however he lost phone signal before giving his location. Llanberis and 22 squadron were initially tasked to search high probability areas of Snowdon, then further information from a friend took the search to the Great Orme. Shortly afterwards the informant managed another 999 call that located them in Cwm Eigiau. OVMRO were heading to the area when 22 Squadron found the pair and flew them to hospital.",134
East Face Tryfan,2011-01-03,12:10,2,"Two climbers started to abseil down the East Face at dusk, but decided to stop and wait for morning before continuing their descent. They informed NWP but did not request help, however the Police contacted the Team. The Duty TL took on the responsibility for the incident to monitor only and advise both parties accordingly. 
They were contacted in the morning and were safely back on the Heather Terrace",133
Penmachno bike trail,2011-01-03,01:35,1,A female cyclist took a fall on the Mountain Bike trail and injured her ankle. Both the Team and an ambulance were called to the scene. Paramedics treated the casualty and then she was carried approx 200m on a stretcher back to the ambulance.,132
East Face of Tryfan,2011-01-30,05:15,2,"Two males set off to climb Tryfan and the Glyderau in the early afternoon.Not surprisingly darkness fell just as they left the summit of Tryfan, and with limited local area knowledge they decided to descend the East Face to reach the Terrace. As many before them, they became stuck in the area of North Gully and rang for help. In heavy rain and strong winds 2 hill parties made their way to the scene and extricated the pair back to the Heather Terrace.",131
Llyn Cowlyd,2011-01-26,02:35,3,"Two male leaders and a 14yr old boy were part of a large group walking from a Scout Hut to Capel and the 3 then decided to walk back to the hut via Llyn Cowlyd. Whilst trying to get from Cowlyd to the Crafnant Valley they could not find their way down so descended back down to the Cowlyd dam. Unfortunately their photocopy map was cut off to the East and so they were not aware of the metalled road leading to Trefriw. They were getting cold, tired and wet so called for MRT to help get them back to the Scout hut. Team Members drove to them in Cowlyd and then taxied them back to the hut.",130
Moel Siabod,2011-01-26,03:10,2,"Two male walkers set off from Capel Curig to walk up Moel Siabod in very poor weather conditions. They had limited equipment and eventually became totally lost and disorientated in the cloud. They rang for help as the light faded and could only give a vague idea of their location. One of them had a medical condition and was deteriorating so search parties were sent out immediately. Luckily for the pair they had a Smart phone with them, which enabled the team to access its GPS facility to fix their location and transmit it back to the Team base. The search parties then quickly located the pair, stabilised their condition and walked them back to the Team vehicle.",129
"Miners Bridge, Betws y Coed",2011-01-20,02:00,1,A 60 year old female sustained an ankle injury whilst out walking on the riverside path at Betws y Coed. An ambulance crew reached her but could not carry her the 500m back to the road so asked for assistance. A small stretcher party went to the scene and soon had her back at the ambulance.,128
Above Dolwyddelan,2011-01-17,04:20,1,A lone male became lost on the hillside above Dolwyddelan whilst walking in the dark. Although familiar with the area he had no equipment with him and had lost the path. He was able to give a very good description of his approximate location and the Police Helicopter managed to spot him high up on the hillside. It was then a straightforward job for the ground troops to go his location and bring him off the mountain.,127
Geirionydd Gorge,2011-01-15,00:30,1,A 14 year old female had a very mild asthma attack whilst gorge scrambling and felt unable to continue. The group leader asked for assistance from the Team. A team leader met them as she was slowly making her way out of the gorge and walked them back to their minibus.,126
Cwm Lloer,2011-01-12,03:25,1,A female walker was descending after a day out on Pen yr Ole Wen and Carnedd Dafydd when she slipped on the path out of Cwm Lloer. She injured her ankle and made a good effort to continue but it became too painful. The Team treated the injury on scene before carrying her on a stretcher to a waiting ambulance.,125
Dwygyfylchi Mountain,2011-01-09,00:25,4,There was a report of an 'SOS' light signal from the area of Dwygyfylchi Mountain. No contact could be made with the informant. A local team member had a look at the hill from the A55 but could see no lights. No further action taken.,124
North Ridge of Tryfan,2011-01-09,04:40,2,"A couple climbed the North Ridge of Tryfan, followed the Eastern Traverse and then rang for help when one of them became cold, wet and scared. Two hill parties were deployed, located the couple and short roped them up the upper end of North Gully and then down Western Gully.",123
Carneddau,2011-01-07,01:00,2,Two well equipped males were reported as overdue from their walk over the Carneddau from Ogwen to Aber Falls. Luckily they made contact with their concerned family before the Team were deployed. They had taken longer than expected due to the heavy cloud cover and then had arrived at a different road to their plan. They were happy to sort themselves out. False alarm with good intent.,122
Glyder Fach,2011-01-07,05:35,2,A poorly equipped couple walking near to the Cantilever on Glyder Fach called for help as they were too scared to walk off the mountain in the dark. A small party located them and walked with them back to the road.,121
Idwal Slabs descent,2011-01-05,02:15,8,This disorganised large climbing group had taken an excessively long time to climb a route on the Idwal Slabs and then had no idea of the route down in the dark. With 3 torches between 8 of them they wandered up and down the mountainside before asking for help. A small party located them and escorted them back to the road.,120
Aberglaslyn Gorge,2011-01-01,02:05,1,The Team were asked to assist with a search for a missing female who had fallen into the river near Beddgelert. The Team were stood down shortly after arrival at the location as the lady had been found about 1 mile downstream. Sadly she did not survive.,119
Crimea Pass,2011-01-23,01:15,12,A member of the public reported seeing a white 'distress' flare whilst driving over the Crimea Pass in the direction of Betws y Coed. A Team Leader went to the Pass to investigate but other walkers in the area had not seen the flare. The Police helicopter also overflew the area with no result. False alarm with good intent.,118
Llyn Eigiau,2011-01-23,01:35,1,"A female student, on a D of E expedition, slipped near Llyn Eigiau and aggravated a previous ankle injury. She was unable to continue so her group put her in a shelter and contacted their assessor. Two Team Leaders were able to drive up the track to the group and then take the casualty to the roadhead for onward transport to hospital.",117
Moel Siabod,2011-01-23,03:30,3,"3 army personnel on a training exercise were reported as having difficulty close to the summit of Moel Siabod after one sustained a minor ankle injury. A Team Leader spoke to the organiser who agreed to go up the mountain with some of his own staff, locate the group and help them down. No further action was needed from the Team.",116
Idwal Slabs descent route,2011-01-22,04:30,1,"A 21 year old female climber slipped on the descent route from Idwal Slabs, injuring her foot. Despite attempts to walk it became too painful so her friends called for help. The Team managed to move her a short way on a stretcher to a suitable winching site for 22 Squadron. She was flown to hospital and her friends taken back to Oggie Base.",115
Sychnant Pass,2011-01-16,02:30,1,"This well organised rambling group were descending at the end of the walk towards the Sychnant Pass when a 73 year old male slipped. This resulted in a strain above the right knee which prevented further movement down a steep, muddy path. He was placed on a stretcher and lowered using a back-rope to safe ground and then transferred in the Team Land Rover to waiting transport.",114
Glyder Fach,2011-01-15,01:25,1,"A parapenter was seen to invert the wing and then fall to ground, landing heavily. Given the clear description and briefing from a member of Aberglaslyn MRT, it was decided that a request for R122 should be made. The casualty was lifted by R122 and flown direct to YG for treatment. No OVMRO members were committed to the hill.",113
Y Garn,2011-01-12,03:45,1,A male fell 10m whilst scrambling on the NE Ridge of Y Garn. He sustained a leg injury and several other soft tissue injuries. A party from the Joint Services training centre were first on scene and administered first aid. Ogwen and RAF Valley MRT troops were able to assist him down the mountain below cloud base where a heli from 22 Squadron picked him up and flew him to hospital for treatment.,112
"Crib Lem, Carnedd Dafydd",2011-01-08,04:55,6,A group of 11 friends had walked up Cwm Llafar and then scrambled up to the top of the Crib Lem ridge. At this point 6 of the group decided to go back down as they were encountering very wet and windy weather. On the way down they lost their way and ended up stuck above a steep cliff. A small party of team members located them and short roped them from their dangerous position. They were then able to walk out to Gerlan with the Team.,111
"South Gully, Tryfan",2011-01-05,04:35,2,"Two males had reached the summit of Tryfan and then tried to descend by the East Face in thick cloud cover. It would seem they dropped into the top of South Gully, traversed around to North Gully and then tried to descend to the Heather Terrace. They were forced to stop about 20m above the path as the ground became too steep for them. A small hill party located them and lowered them to the path and safety.",110
Carnedd Llewelyn,2011-01-02,03:55,4,"This party of four plus dog had walked over Carnedd Dafydd to Carnedd Llewelyn and intended descending over Craig yr Ysfa into Cwm Llugwy. However, they became lost in cloud on the descent and lost confidence to continue. The duty Team Leader told them to return to the summit of Carnedd Llewelyn so that they would be easy to locate as they only had one torch and it was now dark. Two hill parties were deployed from Mac’s Highway, duly found the lost party and walked them off the mountain. Both equipment and experience was limited.",109
"Afon Llugwy, Capel Curig",2011-01-02,02:10,1,"A kayaker sustained a spinal injury when going over the falls at Pont Cyfyng in Capel Curig. His friends managed to drag him on to a rock slab at the side of the river and then asked for help. A combined effort from Oggie troops, North Wales Fire and Rescue Service, 22 Squadron and the North Wales Air Ambulance enabled him to be treated at the scene and then airlifted to hospital.",108
Conwy Falls cafe,2011-01-30,01:00,1,A man collapsed whilst out for an evening stroll with his friends close to the Conwy Falls cafe. The team were asked to assist the ambulance crew on scene. Unfortunately the man did not survive.,107
Bangor/Carneddau,2011-01-28,00:55,3,A member of the public reported red and white flashing lights in the mountains above Bethesda. She was concerned that there might be someone in difficulty so called NWP. Three team members investigated and it was decided that it was most likely that she had seen the lights of some helicopters training in the area. No further action taken.,106
Craig yr Ysfa,2011-01-25,02:20,5,"Five males were reported as overdue from a climb on Amphitheatre Buttress on Craig yr Ysfa. Their friends were unable to establish any contact with the party and were concerned for their welfare as the weather had greatly deteriorated throughout the day. Two Team Leaders drove up to the two obvious descent routes to investigate and the lights of the missing party were luckily spotted close to the roadhead. They had been delayed by bad weather and darkness but were not in any difficulty.
Good intent from their friends.",105
Moel Siabod,2011-01-24,02:10,2,Two experienced females became lost on their way down Moel Siabod in the dark when they took the wrong path. They had no map and had started the walk rather late in the afternoon. A small group of team members located them and walked them back to the waiting team vehicle.,104
Aber Falls,2011-01-24,01:50,2,"A well-equipped couple became stuck above the 'bad step' close to the top of Aber falls. They had lost confidence in the fading light and requested assistance. A small party located them, roped them across the difficult section and then walked them back to the bottom of the falls.",103
