incident,n_incident,loc
"A man was walking a section of the Cumbria Way from Keswick to Caldbeck with his nine year old dog when after a long wet day the dog refused to carry on. They had just gone past Lingy hut en route towards High Pike in the Caldbeck Fells. The man attempted to carry to dog but it was too tiring and they were both getting cold so he returned to Lingy hut after calling 999 and asking for Mountain Rescue help. A small team drove to Mosedale mines from where they quickly climbed up to the hut where they found the man and his dog. With visions of Great Danes and Rottweilers and the possibility of having to call more team members to stretcher the dog off the team were pleased to find a small and easily portable cold, shivering terrier. The pair were escorted down to the track at Mosedale road end where one of the team members was able to drive the man and his dog to their accommodation in Caldbeck. 6 team members – 2 hours 10 minutes",,lingy-hut-mosedale
"Just like last week as team members were preparing to go to the base for the weekly training session we received a message from Cumbria Police of a 47 year old lady who had injured her ankle on returning from a walk up towards Scafell Pike. With the prospect of a reasonably long stretcher carry and no shortage of team members three vehicles set out in response. It was the first time we had used the borrowed Edale Mountain Rescue Land Rover (thanks again guys). On a beautiful warm late summer evening the team made their way up from Seathwaite towards Sty Head Pass where they found the casualty about 500m short of the tarn. The lady’s injury was assessed and after a box splint had been applied to stabilise her ankle she was assisted onto a stretcher for a carry back down to the valley. Whilst carrying the stretcher it is the responsibility of the front person to shout to warn the others about upcoming obstacles; large rocks, drainage ditches and the like. An unusual shout was heard twice on the descent of ‘FROG.’ No frogs (or toads) were harmed during this rescue. 23 team members – 2 hours 55 minutes",,sty-head-borrowdale
"A man in his 70s was descending the path from Dock Tarn to Stonethwaite but slipped and injured his thigh and elbow. He tried to continue but eventually had to stop as he was unable to weight bear. A couple on the same path came across the man but as the mobile signal in this part of Borrowdale is a problem they continued to Stonethwaite where they were able to call for assistance. Land Rover ‘Echo’ was dispatched and the man was quickly located above the tree line and treated for cuts and provided some pain relief. Whilst waiting for the stretcher crew to arrive in a second vehicle, the casualty wanted to try descending the rocky path with support from two team members. This was fortunate because as the man was assisted a report came through that a female had fallen and injured her ankle about 200m down the same path, and very near to the approaching stretcher team. This could be a Keswick MRT record in getting to a casualty! Both injured parties were helped to an awaiting ambulance who checked them over and took them to hospital at Whitehaven. 20 team members – 2 hours 50 minutes",,lingy-end-stonethwaite
A group were scrambling up Cust’s Gully on Great End when one of the party dislodged a boulder causing an injury to his knee. At this point the group had mobile reception and a call for help was made. Keswick MRT were alerted by the police but subsequent contact was difficult as they had unknowingly descended into a mobile blind spot. They had also indicated to the police that they may attempt a self rescue using equipment in the stretcher box at Sty Head. Their exact location was therefore unknown. With this in mind a couple of team members went up Styhead Gill to the stretcher box whilst the rest of the team made their way up Grains Gill. The casualty’s group were found in Ruddy Gill having made some progress in helping their friend down the path. After an examination the casualty was stretchered to Seathwaite and taken by the friends to hospital for further checks. 16 team members – 3 hours 40 minutes  ,,ruddy-gill-seathwaite-fell
"A group of 6 had been ghyll scrambling in Stoneycroft Beck in Newlands when one of the party, a 22 year old man, went over on his ankle and was unable to continue. A team Landrover with five members set off from base along with our Mercedes Sprinter meeting up with a further team member at the foot of the ghyll. There was some discussion about whether the Landrover should be driven up the track as this was the site of our other Landrover rolling just three weeks ago. In an effort to ‘exorcise’ a few demons, the Landrover proceeded up the track past the accident site and up to within a few metres of the casualty. The young man was assessed and splinted and then stretchered down to the road where he was taken by the group’s minibus to be checked at hospital.  You’ll be pleased to hear that the Landrover had an uneventful drive up and down the track and returned to base unscathed! 17 team members – 1 hours 10 minutes",,stoneycroft-beck
A call came via the North West Ambulance Service (NWAS) of a man who had slipped and suffered a lower leg injury on the path between the Coledale Inn and Stile End. Land Rover ‘Echo’ was able to park next to the casualty and one of the team paramedics treated what appeared to be a particularly bad ankle break. Strong pain relief was provided and attempts made to reduce the injury before the man was taken to Keswick Cottage Hospital. 17 team members – 1 hour 40 minutes  ,,high-coledale-braithwaite
A 13 year old boy alerted the Police that his family had not returned from a walk. A team dog handler who lived locally was deployed and sought further information from the boy. He then carried out a search of the area but then stood down after the family were reported safe and well. 2 team members – 1 hour 15 minutes,,seathwaite
A passing walker reported an elderly male passing in and out of consciousness at Stockley Bridge. He was given water and food by the walker but became unconscious again. The team was dispatched but called back to base after word came through that the man had recovered and made his own way to Seathwaite. 16 team members – 20 minutes    ,,stockley-bridge-seathwaite
The Team was called out by the police to a lady who had injured her ankle at the top of the path that descends through the old Rigghead Quarries towards Rosthwaite. The lady had been out walking with a group and had fallen and was unable to walk. The casualty was located and after an assessment she was given some pain relief and her ankle splinted. Due to the location and the likelihood of a long stretcher carry Cockermouth MRT were asked to assist and seven of their team supported the effort. The casualty was carried down some steep terrain and once down at Rosthwaite was taken to the Keswick Cottage Hospital for further checks. Many thanks to Cockermouth MRT for the support. 13 Keswick + 7 Cockermouth team members – 3 hours 10 minutes    ,,rigghead-quarries-high-scawdel
"A party of four walkers were descending the tricky rocky section on Hall’s Fell Ridge, about 200m below the summit of Blencathra, when one of the party became very anxious about the exposure. Uninjured but unable to move, the group made the call requesting assistance. A team vehicle was dispatched and team members made their way up the ridge, located the group and guided them down past the main difficulties. 9 team members -2 hours 20 minutes  ",,halls-fell-blencathra
An 80 year old lady was walking with friends along the Allerdale Ramble below Castle Crag in Borrowdale when she slipped and fell injuring her head. Five team members set off in a Land Rover and another member went direct to the location to assist. The lady had a bump on her head and was unsteady but was tough enough to walk assisted to the Land Rover. One of the team members took her to the Cottage Hospital in Keswick for a check over. 11 team members – 1 hour 42 minutes,,castle-crag
"A young male german hiker was camped on the side of Sprinkling Tarn on a wild night when his mountain tent caught the full force of a sudden gust rolling over the tent, sending the man flying and braking the tent poles. He called 999 and asked for Mountain Rescue assistance. An experienced and competent walker and in no immediate danger he was purely asking for advice on the best possible route to descend to a suitable shelter for the night. The man was given directions to get to Grains Ghyll and advised to drop down to Seathwaite. Meantime enquiries were made to find possible local accommodation with the excellent result from the farmer at Seathwaite of an offer of an unoccupied teepee. A small team went out to meet the man above Seathwaite to make sure he was OK and show him to his teepee. The man was rather chuffed with his new accommodation under the circumstances and very grateful for the team’s help. 4 team members – 1 hour 30 minutes",,sprinkling-tarn-seathwaite
A 13 year old boy was with his family on a guided trip up the via ferreta on Fleetwith Pike. On the final steep section he slipped and despite the safety system fell a short distance hurting his chest. The guide reported the incident and looked after the boy whilst the Keswick MR team was dispatched. On arrival some team members crossed the wire bridge to get to the casualty site whilst others made their way up to the exit of the via ferreta. The team doctor assessed the boy and provided some pain relief. In the meantime options for an extraction were considered. As there was loose rock in the vicinity it could have been risky to lower a stretcher from above so a coastguard helicopter was requested which flew in close and winched the boy up and then made their way to Carlisle hospital. It is understood the boy suffered some bruising to his ribs but is making a good recovery. He probably wasn’t expecting quite as much adventure when signing up for the via ferrata. 23 team members – 4 hours  ,,honister-via-ferrata-feetwith
"Whilst walking near to the summit of Carl Side a 41 year old woman slipped on some mud and heard an ominous crack in her ankle. Despite this she kept on walking past Ullock Pike and down the ridge until finally, at Kiln Pots, the pain became too much and she could walk no further. After the emergency call the team were deployed and made their way up to casualty. After some treatment and pain relief she was stretchered down to the car park near the Ravenstone Hotel and to the awaiting ambulance. 15 team members – 2 hours 45 minutes  ",,ullock-pike
The North West Ambulance Service (NWAS) requested assistance to help with a 58 year old man who had slipped and suffered a head injury near the waterfall behind the Lodore Hotel. A team Land Rover was deployed but having arrived at the hotel was stood down as the ambulance crew had managed to walk the man to the road for further treatment. 5 team members – 40 minutes    ,,ladore-falls
"Whilst descending the lower slopes of Robinson at the top of the Newlands Valley a 59 year old woman slipped on some mud and heard an ominous crack in her ankle. A member of her party called 999 and asked for Mountain Rescue assistance. Two vehicles were quickly deployed from the Keswick base and are able to drive close to the casualty. A team paramedic assessed the injury, analgesia was administered and the ankle splinted before loading the lady onto a stretcher for the relatively short carry down to one of the team vehicles. The casualty was then driven to where the party had left their vehicle, she was transferred into their own car for onward travel by the lady’s husband to Cumberland Infirmary in Carlisle. 14 team members – 1 hour 42 minutes",,high-snab-robinson
"A 31 year old male mountain biker crashed whilst descending from the summit of Skiddaw towards Carl Side. As well as hitting his head, resulting in a loss of consciousness, he also appeared to have broken a collar bone. The team dispatched a Land Rover which made its way up to the col behind Dodd with the expectation that it would be a slog up to the summit and a stretcher carry down. However after using an inner tube as an improvised sling to protect the injury, the casualty felt well enough to start walking down with his friends. The group were met at White Stones where one of the team paramedics carried out a thorough assessment of the patient before continuing the walk down to the Land Rover, a short distance away. He was then driven to Keswick where his friends took him to hospital for further checks. Note the damaged helmet photo – this no doubt saved him from serious injury. 15 team members – 1 hour 45 minutes  ",,carlside-skiddaw
"Whilst out walking a 50 year old female slipped and badly injured her leg near to Armboth car park on the shores of Thirlmere. The incident was reported to the North West Ambulance Service who, after treating the casualty, requested help from Keswick MRT. A Land Rover was dispatched and the team stretchered the casualty about 100m to the waiting ambulance. A second vehicle was on its way to provide additional team support but was stood down. 17 team members – 1 hour  ",,armboth-thirlmere
Having ascended Hall’s Fell to the summit of Blencathra a 70 year old male suddenly became ill with chest pains. Team members were urgently dispatched and air ambulance assistance requested. Helimed 08 (Blackpool) was quickly on scene just as the team were making their way up Blease Fell. The helicopter medics assessed and treated the casualty and MRT helped stretcher him to the nearby helicopter. He was then flown to Lancaster hospital for on-going treatment. 18 team members – 2 hours 36 minutes  ,,blencathra
"A team of three men were descending from Helvellyn when they found themselves away from the path and on steep ground with daylight fading. Unsure of the way off the mountain and before they lead themselves into danger they called 999 and asked for Mountain Rescue help. Using phone finder the three men were located on Willie Wife Moor below Dollywagon Pike. They were given directions for the safest route down towards the road whilst a small team was sent to assist them in case they had difficulties. The team members found the three as they were descending towards the road at Dunmail Raise. Another team vehicle was sent out to take the three very grateful men back to their car at Swirls. A reminder to all that daylight hours are limited at this time of year and if you venture onto the fells you should be suitably equipped with at least a torch, a map and compass – and the knowledge to use them. 10 team members – 1 hour 15 minutes  ",,willie-wife-moor-helvellyn
Another ankle injury following a slip. A 65 year old woman was with a group of walkers on the descent path from Hause Gate on Catbells towards Manesty when the incident occurred. Team members were dispatched and on arrival splinted the ankle and stretchered her down to the road. Her friends then drove her to hospital for further checks. 23 team members – 2 hours,,hause-gate-catbells
"The third ankle injury callout of the day! A group of university students were descending the track from Coledale Hause towards Force Crag Mine at the head of the Coledale Valley when a female in the party slipped and went over on her ankle breaking her lateral malleolus. After calling 999 to ask for Mountain Rescue her companions stayed with her to keep her warm whilst awaiting rescue. A local fell running lady also stopped to offer assistance. The team, not long back from callout number two of the day, drove up to the mine above Braithwaite and made their way to the casualty. The track was icy, as were the stepping stones across the beck. The injured ankle was immobilised before the casualty was stretchered back to one of the vehicles. Strangely there was an urgent requirement for a team change on the stretcher carry just before the beck crossing but fortunately there were a few probationary team members present to help out! The girl was driven down to Braithwaite to rendezvous with the ambulance. 15 team members – 2 hours 12 minutes",,force-crag
"At just after 9am on a Sunday morning after the festive Saturday night before! a callout was received from Cumbria Police of a 27 year old man who had fallen from Sharp Edge, Blencathra. The man was with his 40 year old brother who had called in the rescue and the initial report was that the fallen man was fine with no injuries. A team set off immediately anyway to investigate and offer assistance. When further reports arrived the news was a lot more alarming and worrying. The man had fallen 50m, was getting cold and was unresponsive. A call was made for coast guard helicopter assistance in what seemed to be potentially a very serious incident. A second truck full of team members left base and made their way up Mousethwaite Cwm towards Sharp Edge. As the first team members approached Scales Tarn a further message was received from the two men that the man who had fallen was uninjured and they were going to continue up the ridge to the top of Blencathra. The helicopter was immediately stood down whilst team members continued upwards to ensure all was well. The leading team members made their way along Sharp Edge to the point they could see all the way to the top with no sign of the ‘casualties.’ All members were stood down and returned to base. 19 team members – 2 hours 40 minutes",,sharp-edge-blencathra
A 80 year old woman slipped and injured her ankle on a path near to Hollows Farm in the Grange village area. A Keswick MRT vehicle was dispatched and made it as far as the Lodore Hotel when a call was received that the woman had made it to the road with her friends and no further help was required. 13 team members – 50 minutes    ,,hollows-farm-grange
Sheet ice over slate bedrock caused a 37 year old mountain biker to crash on the south red route at Whinlatter Forest. A resulting nasty ankle fracture dislocation was treated at the scene before the casualty was stretchered to the team Land Rover and driven to an awaiting ambulance. Coincidentally it was exactly this type of ankle injury that was covered in our medical refresher training a couple of days ago. 9 team members – 1 hour 30 minutes,,whinlatter-forest
"Christmas Eve, the first of today’s three callouts for the Keswick team. A 76 year old male was walking with a group down the path to Rosthwaite from Watendlath when he slipped and fell heavily onto his leg. In considerable pain and obviously unable to continue the party called for help. A Land Rover full of team members left base, shortly thereafter followed by more team members in a Sprinter and made their way to Hazel Bank, Rosthwaite. They then continued on foot to find the man and some of his walking party not too far up the path. The man was given analgesia before loading him onto a stretcher for the carry down. The team would like to extend their heartfelt thanks to the jovial casualty who, in between occasional pained cries as the stretcher was jolted, kept the team amused with non-stop poetry recitals and literary quotations with all the vigour of Brian Blessed. Everyone had smiles on their faces as evidenced in the photos. We wish him a very speedy recovery. 14 team members – 1 hour 55 minutes",,rosthwaite
"Three generations of the same family became stuck on steep ground whilst trying to return to their car at the end of a walk. A 60 year old, her 27 year old daughter and the 8 year old grandson had walked from Surprise View above Ashness Bridge down to the lakeshore. On their return they lost the path in the woods but could see on their mobile phone map that the car was almost straight above them. They attempted to climb up direct but found the ground increasingly steep and impossible to continue. The descent was now an unattractive proposition so they called 999 and asked for Mountain Rescue help. Some of the team members from the first callout went straight back out again and climbed up from near to Lodore Falls to locate the family under the crags below Surprise View. One team member took the young lad straight down whilst the rest of the team helped the two ladies securing them on a short rope on the steep, bouldery and slippery ground. Unlike the previous callout there was no poetry this time but lots of light-hearted banter. We all made it down just before dark. 11 team members – 1 hour 45 minutes",,surprise-view
Whilst driving down the valley to callout number two of the day another call came in for help. This time from a family who had got lost after straying from the path and getting stuck on steep ground near to Kings How on Grange Fell in Borrowdale. Using ‘Phone Find’ the precise location of the two adults and two children was pinpointed. The family had already very wisely stated that they would not move from that location to make finding them easier. More team members were requested to make up a small search team and they drove once more up the Borrowdale Valley. The team approached from the Bowderstone car park and made their way up in fading daylight to find the family. The night time descent back to the Bowderstone presented no problems. 11 team members – 2 hours 42 minutes,,kings-how-borrowdale
A small group were scrambling up Cam Crag ridge in the Langstrath Valley when one of the party fell 15 to 20m sustaining a serious head injury. This is an area without a mobile phone signal but fortunately a passerby was able to run to the Langstrath Inn and made the call for help on the landline. The rest of the party did what they could to look after the casualty. Keswick MRT dispatched two vehicles and requested assistance from the Coastguard helicopter. The Great North Air Ambulance provided additional support with their specialist medical teams. Keswick MRT were first on scene and packaged the casualty for the winch. The Coastguard helicopter along with the GNAAS medics then made their way to the Newcastle Royal Victoria Infirmary. 16 Team Members – 3 hours 25 minutes,,cam-crag-langstrath
A 59 year old lady slipped and sustained a suspected broken arm on a path on the west side of Rosthwaite. One of her party came down to the village to alert the police but she was able to continue with support from members of her group. Although Keswick MRT deployed she managed to get to Rosthwaite before the team arrived and was driven by her friends to Keswick hospital. 14 team members – 40 minutes,,rosthwaite
A 61 year old made the ascent to Hause Gate on Cat Bells on a crisp sunny day. Towards the top he began to feel hot and dizzy with weak legs and unable to walk. With a previous history of heart problems he decided to call for help and Keswick MRT deployed and quickly made contact with the casualty’s group. After a doctor carried out an assessment it was decided the casualty was fit enough to walk down the hill to the road whilst accompanied by the team and his friends. 13 team members – 2 hours  ,,cat-bells
A 88 year old lady was descending Latrigg towards Keswick when she started experiencing abdomen pains and severe nausea and sickness. Unable to continue her companions requested help. The team deployed and located her on the path near to Spooney Green lane. The team doctor treated her and she was subsequently stretchered down and then transferred by ambulance to the Cumberland Infirmary at Carlisle. 11 team members – 1 hour 40 minutes,,latrigg
"Passers-by contacted the Police reporting two people shouting for help having become stuck on Tarn Crag (above Scales Tarn), near the summit of Blencathra. One of the party later called advising they were uninjured but without suitable equipment, so were unable to move on steep and snowy ground. A well equipped fell runner in area went to the scene to assist and remained with them until the team arrived. As a number of team members were in Scotland undertaking winter training, RAF Leeming, who were in the area, were asked to support Keswick MRT. Four from the RAF team made the ascent whilst the remainder were kept on standby at Mousethwaite Comb. The two walkers were rope assisted from the difficulties and were walked off the fell. The Keswick team members returning from the Cairngorms spotted MRT lights above Mousethwaite Comb and asked if further assistance was required, but fortunately, after a full day on the hill and a 4.5 hour drive, this offer was turned down. Many thanks to RAF Leeming, and the fell runner. 15 team members + 4 from RAF Leeming – 4 hours 40 minutes      ",,blencathra
"After climbing Blencathra from Mungrisedale a young man, after considering his options, decided to descend via Sharp Edge. The weather was cloudy with a fine drizzle falling and everything was slick with moisture. At the bottom of the steep initial descent and just at the start of the Sharp Edge traverse the man slipped on the extremely greasy rock and fell about 10ft bashing his shoulder and twisting his ankle. He had been carrying 2 ice axes and it was one of those that had stopped him falling further. In pain and somewhat shaken up he called 999 and asked for Mountain Rescue help. A team of five quickly set off from Keswick base in the Landrover shortly followed by a Sprinter with further team members in case the casualty needed to be stretchered down. The team made their way up Mousethwaite Comb, up past Scales Tarn and along Sharp Edge to find the casualty in good spirits but getting cold after his wait. The man was harnessed up and given a helmet before being rope-lowered down to awaiting team members on what is known as the Chicken Path from where he could be safely walked off. 12 team members – 3 hours 55 minutes",,sharp-edge-blencathra
A group of walkers were intending to walk from Thelkeld over the Dodds and along the ridge towards Helvellyn and camping near Red Tarn. Unfortunately the going was slow with bad weather and they got a soaking. An 11 year old in the group got particularly cold and as they found it difficult to warm him up got concerned about his well being. Whilst help was being requested they decided to pitch tents on the side of Stybarrow Dodd and got the boy out of wet clothes and into 2 sleeping bags with some warm food. By the time Keswick MRT arrived he had warmed up and with some dry clothes was able to walk down with the team from Sticks Pass down to Stanah. 17 team members – 4 hours 15 minutes  ,,stybarrow-dodd
"Whilst team members were making their way up Stybarrow Dodd on incident number 4 a second call came in from an injured walker on the path from Watendlath to Rosthwaite. It was initially reported that there had been a knee/hip injury but it transpired that the person had slipped, done the splits, and pulled a muscle. The party continued down and were met by Keswick MRT at the lower fell gate but did not require treatment or assistance. 10 team members – 1 hour 40 minutes  ",,rosthwaite
"A group was ascending Beckstones Gill on the side of Barf, when one of the the party experienced a supraventricular tachycardia attack which manifests itself as an extremely high heart rate. As a result the walker was unable to continue. By the time Keswick MRT arrived at the scene the heart rate had reduced and after a check over by the team doctor the casualty was able to walk accompanied down to the road. 24 team members – 1 hour 30 minutes      ",,beckstones-gill-powter-how
A young lady and her father were descending Barrow after having walked all the way around the Coledale Horseshoe when she went over on her ankle and heard/felt a popping sound. To have come so far and with the end in sight! They dialled 999 and asked for mountain rescue help. Two vehicles left the base and rushed to assist. After setting up a shelter against the very cold wind the team did an assessment before splinting the ankle and packaging her up for a stretcher carry. The lovely smooth grassy nature of the Barrow path meant that we were able to slide the stretcher on its skis the majority of the way down to the foot of the hill. The pair were then able to make their own way to Carlisle Infirmary for an x-ray. 17 team members – 1 hour 40 minutes,,barrow
Storm Ciara caused some very early morning chaos at the caravan park on Crow Park Road in Keswick. An evacuation of the site was commencing when the Police requested support from Keswick MRT. The initial task was clearing a narrow lane with a stalled camper van that was causing a blockage. We were then directed to a flooded area in the park to help people and dogs trapped in vehicles. During this time it was noticeable how the depth and strength of the flood water was increasing. Everyone was helped to safer areas but unfortunately some vehicles had to be abandoned. 12 team members – 2 hours 15 minutes,,keswick
A runner had stopped on his descent from Falcon Crag towards Ashness Bridge to enquire about someone who had slipped and fallen. Having established that the person was ok he continued his run. However after 100m the runner also slipped and sustained a nasty dislocated ankle. He was lucky to encounter some passing walkers including some doctors who provided initial support and made the call for help. The Keswick MR Team arrived soon after and administered some strong pain relief before reducing the ankle dislocation. After splinting the casualty was stretchered down to the awaiting ambulance at Ashness Bridge. 17 team members – 1 hour 49 minutes,,ashness-bridge
Keswick were asked by the Penrith team to assist in the search for a missing person. Four team members set off from base but on arrival at the scene were turned back as the missing person had been found. 4 team members – 1 hour 3 minutes,,penrith
"Not long after returning to base after the first callout of the day we were alerted to the second. Not only was it on Castle Crag again but almost in exactly the same place. This time it was a lady who had been picked up off her feet by a gust of wind and unceremoniously dumped on her side injuring her shoulder. Most of the team members from the first callout plus a few more quickly re-packed the vehicles and set off back to Hollows Farm campsite and up the Allerdale Ramble to the back of Castle Crag. The casualty was assessed, pain relief given and then stretchered down to rendezvous with the NWAS ambulance in Grange for onward travel to hospital. 12 team members – 1 hour 50 minutes",,castle-crag
"In very changeable weather a couple were making their way down the Allerdale Ramble behind Castle Crag in Borrowdale when the lady went over hard on her ankle. She felt immediate pain and knew she had likely broken it. They called 999 and asked for Mountain Rescue help. Two vehicles left the base and drove down an incredibly watery Borrowdale Valley to Hollows Farm campsite where they raced up the track to the back of Castle Crag. Having been lying on the cold and wet ground and despite many layers having been placed around her the casualty was getting quite cold. On arrival the lady was given a heat blanket and wrapped in a warm casualty bag before being assessed. Some pain relief was given before splinting her lower leg. The casualty was then stretchered down, through crazy heavy hail showers, to the team vehicles from where she was transferred to a waiting NWAS ambulance in Grange for transport to hospital. 13 team members – 2 hours",,castle-crag
A 50 year old lady had slipped and injured her ankle beside the Glenderamackin River in the valley behind Souther Fell. Her walking companions provided a very accurate position with a grid reference and what3words location. Two Keswick MRT vehicles were dispatched and on arrival provided some pain relief and splinted the ankle. The casualty was stretchered to Mungrisedale and then taken by her friends to Carlisle hospital for further checks. 19 team members – 2 hours 25 minutes,,bannerdale
"Having waited for a good weather forecast, a group of 13 school pupils, accompanied by two adults, climbed to the top of Helvellyn from Thirlmere. Their route to the summit involved a lot of movement over snow slopes and they then returned ‘off piste’ down steep snow patches and by scrambling over rocky scree. Unfortunately, the slope they chose is convex and consequently steepens as you descend. Without crampons, or ice axes to arrest any fall, the group made their way downhill as best they could on the hard snow until one of the group slid out of control coming to rest some 60-80ft lower down, but not before hitting his face and breaking his nose along with breaking a couple of fingers. The group called 999 and asked for Mountain Rescue but could not give an exact location. The information given was that a member of the group had slid 50m and had sustained head injuries. Two vehicles left base and made their way to Swirls car park from where they started to climb towards Helvellyn knowing only that the missing party were somewhere between them and the summit. A Coast Guard helicopter was also called due to the potential seriousness of the incident. Control were later able to make further contact with the group and were then told that one of the party, on seeing the fall had run off down hill and had not been seen since. Further team members were subsequently tasked to find the missing person who was later found by police. It was now dark as team members approached the steep section of Brown Cove Crags. Voices were heard off to the right of the path on the slopes known as Helvellyn Screes and after donning crampons to negotiate the steep and hard snow slopes the team members found the group huddled in small groups on scree ledges. Whilst an assessment of the casualty was being carried out the rest of the team cut steps across the snow slope and escorted the cold, damp but uninjured pupils one by one to safer ground. Once the casualty had had his hand splinted and injuries assessed he was able to walk with assistance. With one team member on either side the casualty was walked off along with the rest of the group back to the main path. A reminder that despite that rare sun appearing in the sky, green fields and daffodils emerging down in the valleys the fells are in full winter condition and those venturing above the snow line should be suitably clothed, experienced and prepared. 22 team members – 4.3 hours",,helvellyn-14
A group were descending Brund Fell after completing an ecology field trip when one of the party had sudden stomach pains near the aptly named Resting Stone. These were so severe that it prevented further progress on their descent. After requesting help Keswick MRT sent a vehicle to Rosthwaite. Whilst team members were making their way up the fell a second vehicle was dispatched which was flagged down by part of the group who had arrived at the road at Frith Wood. A team paramedic from the second vehicle located the casualty and after a check up helped walk the casualty the short distance to the car park. 14 team members – 1 hour 8 minutes,,brund-fell-rosthwaite
Whilst walking in Dodd Wood an 83 year old man slipped and took a 20 foot tumble injuring his head and ribs. The North West Ambulance Service requested assistance in getting the casualty back down to the main road. The Keswick MRT Land Rover was dispatched and was able to park close to the injured man. After an initial assessment he was securely packaged and stretchered down to the road and the waiting ambulance. 11 team members – 1 hour 53 minutes,,dodd-wood
"A 27 year old cyclist was descending Honister Pass with his friend, on a dry and sunny day, when he lost control of the bike and fell suffering severe injuries. Two passing off-duty medics immediately provided assistance and in a short time Cumbria police, mountain rescue, and air ambulance teams arrived and tried to resusitate the casualty. Sadly, and despite a sustained effort, nothing could be done to save him. Our thoughts and sympathies go out to the man’s family and friends. 14 team members – 3 hours 6 minutes  ",,honister-pass
After walking over Walla Crag with his wife a 79 year old man slipped on gravel on the descent path down Cat Ghyll. The man had a painful leg and could not weight bear so they called for Mountain Rescue assistance. Two vehicles left base with some team members also going direct. After assessment by a team paramedic the man’s leg was splinted and he was then stretchered down to the car park in Great Wood from where his wife was able to take him to hospital for further assessment. 19 team members – 1 hour 50 minutes,,cat-ghyll-walla-crag
"A routine day at a farm ended tragically after a 52 year old farmer suffered serious injuries in an accident. His family and co-workers were nearby and did all they could with first aid until land and air ambulance crews arrived. As the accident occurred 200m up a fell additional support from Keswick MRT was requested. Several doctors, paramedics, and ambulance staff made a sustained effort but sadly could not save him. The man was an old school friend to a couple of team members who attended the call so it was a particularly poignant incident for Keswick MRT. Our deepest sympathies go out to the man’s family and friends.  ",,high-side
"The North West Ambulance Service (NWAS) alerted the team to help a cyclist who had crashed at the notorious bridge on the descent from Honister Pass towards Buttermere. Head injuries were reported and so a first vehicle was rapidly deployed. On arrival an assessment was made and although the cyclist was dazed there were no apparent significant injuries. Fortunately he was wearing a helmet. An ambulance soon arrived, and after a further check the cyclist able to walk to the ambulance which then transported him to hospital. 8 team members – 51 minutes",,honister-pass
"At the end of another hot day Cumbria Police alerted us to a man with a broken femur at Black Moss Pot in the Langstrath Valley. An injury of this nature is serious so there was a full team call out and helicopter assistance requested. To ensure sufficient social distancing between the team three vehicles were dispatched and several members went direct to Stonethwaite. Whilst en route to Black Moss Pot we could see the injured man had already walked, with assistance, around 1km. As a broken femur was unlikely the air ambulance was stood down. Some pain relief was provided before the man continued to walk to one of the Keswick vehicles, which then drove him a short distance to an ambulance waiting at Stonethwaite. 23 team members – 1 hour 49 minutes  ",,langstrath-valley
"A walker descending High Spy thought they heard shouts for help coming from the upper Newlands Valley. An emergency call from the walker was originally routed by the Police to Cockermouth MRT who re-directed it Keswick MRT. The timing of this coincided with our regular Thursday night training and so a small team was sent to investigate. A Land Rover made its way up the miners track, as far as possible, towards Dale Head. A search was then made of likely spots but nothing was found. 5 team members – 3 hours 9 minutes",,high-spy
"Early on Sunday morning a 19 year old had fallen and injured her ankle near to Sty Head pass. The group she was with attempted to help her down to Seathwaite but they realised this would not be possible and so called for help. Fortunately Wasdale MRT had set off for a training exercise and were relatively near to the casualty site. They immediately called off the training and went to assist. After the ankle was treated and pain relief provided the Wasdale team agreed to stretcher the casualty down towards Seathwaite for a handover with Keswick MRT near to Stockley Bridge. Keswick would then complete the carry. The Covid-19 threat means rescue teams protect themselves with PPE as seen in the photographs. Bear in mind that Sunday was a very hot and muggy day and so a long stretcher carry in PPE is particularly difficult. Our thanks go to the Wasdale team who, following the handover, had to ascend back over Sty Head to Wasdale. A sterling effort. 11 Keswick team members – 2 hours 43 minutes (Wasdale team – much longer!)  ",,sty-head
A 19 year old fell 8m whilst climbing the route M.G.C. at Shepherds Crag in Borrowdale. Unfortunately he hit the ground and was in and out of consciousness after a bang to the head. Due to the nature of the injury air and road ambulance teams attended and treated the casualty. Keswick MRT packaged the man in a vacuum mattress and stretchered him to a road ambulance which then took him to the Cumberland Infirmary at Carlisle. 24 hours later we received news that he had been discharged from hospital with “just” bruises to his shoulder and a cut to the head. He was remarkably lucky. The climber gave us permission to share the photo of his helmet and this may have saved his life or prevented a life changing injury. 16 team members – 1 hour 56 minutes,,shepherds-crag-borrowdale
