title,date,loc,gridref,incident
Emergency beacon activation on Helvellyn,2019-01-05,Helvellyn plateau,NY 34130 15210,Emergency beacon activation on Helvellyn.  After investigation this was confirmed as a false alarm.
2 Women Lost on,2019-01-06,Birkside,NY 33700 13530,Two female walkers became disorientated in low cloud and darkness. The Team Leader spoke to them via phone and established their location. They were well down on the West side of Nethermost Pike so the call was passed to Kewsick MRT. They were escorted safely from the mountain.
Unresponsive male casualty - Dunmallard Hill,2019-01-16,Dunmallard Pooley Bridge,NY 46655 24773,At 14:30 on January 16th the North West Ambulance Service tasked Patterdale MRT to help them with an unresponsive male casualty on the path that traverses Dunmallard Hill at Pooley Bridge.Several team members along with a team Doctor attended the incident along with colleagues from Penrith MRT and the crew from the GNAA helicopter.The gentleman was treated at the scene before being flow up to Carlisle for ongoing care.
Unaccounted for Lady,2019-02-08,Gowk Hill Area,NY 44700 16900, 14.30 Friday 8 February 2019Patterdale Mountain Rescue Team were called by Cumbria Police to make contact with a gentleman from Edinburgh who was worried for his partner whom he had not heard from for 24 hours.The female was on a predetermined overnight wild camp and walk starting from Patterdale and going over High Street to eventually end up back at Patterdale via Howtown and the lake shore.The chap had been notified electronically of the ladies position via a beacon system and this was no longer sending him automatic notifications of her position so understandably he became concerned.The Team were beginning to assemble when the missing person arrived back at their home in Edinburgh.The electronic device had malfunctioned and the lady was fit and well.The rescue lasted 90 minutes and involved 4 team members
"Reports of flashing lights above Ruthwaite Lodge, Grisdale Valley",2019-02-18,Above Ruthwaite Lodge,NY 35400 13470,"On Sunday 17 February, the Patterdale MRT were alerted to flashing lights above Ruthwaite Lodge in the Grisedale Valley by a local gamekeeper.The Team sent a small group to investigate, but after a brief search no lights could be seen.The team were stood down."
Woman reported with knee injury needing help.,2019-02-23,between Helvellyn Youth Hostel and Red Tarn,NY 35187 15570,"6.00PM Saturday 23 February 2019.Patterdale Mountain Rescue Team were called by the Cumbria Constabulary to go the aid of a woman that was being carried down the fell by two gentlemen after she had sustained a leg injury, this was reported to be somewhere between Red tarn and on the path to the Helvellyn YHA.The incident was raised by a passing walker who had been asked to get help, this he did once he had arrived in the valley bottom.The Team assembled and went up to Red tarn via the Helvellyn YHA and then searched the area and back to Patterdale via the ""hole in the wall"" route. Nothing was found so the Team stood down.The rescue lasted two and half hours and was attended by 10 Patterdale Mountain Rescue volunteers."
Lost couple - Matterdale common,2019-02-25,"Randerside, Great Dodd",NY 35086 20989,"A couple became lost after attempting a circuit around Swirral Edge, over Helvellyn and returning down from Sticks Pass. Having missed the turning to descend they ended up on rough ground to the North East of Great Dodd and as the light began to fade they decided to call the Team. Two members were dispatched from High Row above Dockray and met the couple, escorting them down and returning them to their vehicle in Glenridding. The incident took four team members two hours"
Man fallen near Hayeswater dam and sustain a head injury,2019-02-26,Hayeswater dam,NY 42830 12600,"Patterdale MRT were alerted by Cumbria Police Tuesday 26th February, to an elderly gentleman who had sustained a head injury while out walking with friends close to Hayeswater Dam.The gentleman who was ""walking wounded"" had continued making his way down with colleagues from the Dam to the carpark at Hartsop, where he was met and assessed by a paramedic from the team. After assessment the gentleman thanked the team for their efforts and continued on his way.The callout involved 16 team members and lasted 1.5hrs"
fractured ankle  Steel knot,2019-03-07,Steel Knotts/Steel End,NY 44258 19223,A 46 year old woman from Carlisle fell and sustained a lower leg injury while walking on Steel Knotts above Howtown on Thursday.Ten team members responded to the incident and the lady way treated at the scene before being stretchered down to the valley bottom and taken to Carlisle CIC for further care.
Search for the well being of a male in the vicinity of Helvellyn,2019-03-16,Helvellyn,NY 34170 15150,Patterdale MRT were alerted by Cumbria Police to a search for a male in the area of Helvellyn. After detailed enquiries were made over a period of time the male was located in the area of Langdale Ambleside MRT and the search was handed over to them for completion.
Multiple RTC on Kirkstone Pass in snow,2019-03-10,Kirkstone pass,NY 40268 08746,"The team were called by Cumbria Police to reports of a multiple road traffic collisions on Kirkstone Pass during a heavy snow shower. The team assisted 33 members of the public who were caught up in the incident.  A woman in her fifties was assessed on scene for suspected fractured ribs and an arm injury before being evacuated with here husband back to the Team's Rescue Centre for transfer to a NWAS ambulance for transfer to CIC Carlisle.   Eight uninjured occupants of four other vehicles were also evacuated back to the Rescue Centre.  Six were eventually returned to their vehicles once the weather improved, 2 others were taken to Penrith railway station as their car was un-drivable.A coach with 23 passengers on board was stuck for a while until the Team managed to clear the road, allowing it to return back down to Ambleside."
Mountain Biker Rescued from Grisedale,2018-11-02,Grisedale,NY 35700 13800,"A mountain biker slipped whilst descending with his Bike from Grisedale Tarn. He had cycled over Helvellyn with his friends and was on the final leg back to the valley. Well equipped and experienced, the casualty was unable to make his own way to the valley given his injury. He was stretchered to a team Landrover and then transferred to an ambulance for onward transfer to hospital.The rescue involved 12 team members and lasted for two and a half hours."
"14yr old female, ankle injury Grisedale",2018-11-06,"Tarn Crag, Grisedale",NY 35300 12500,At approximately 7pm on Tuesday evening PMRT were called to assist a 14 year old female who had been blown over and sustained a lower leg injury in the area of Grisedale Tarn. The girl who was part of a guided group was treated at the scene by team members and a team doctor before being stretched down to the valley bottom.The incident involved 18 team members and took just over two and a half hours.
Drifting Boat,2018-11-13,Drifting boat ,NY 45489 22149,Callout for an unmanned rowing boat drifting on Ullswater.
Couple lost on Dove Crag,2018-11-16,Dove Crag Area,NY 37100 10900,"Patterdale MRT were called out last night to two walkers and their dogs near to Dove Crag.If they had been properly equipped we could have helped them to help themselves to safety. However they had no torch or compass and, given it had gone dark, we had to dispatch team members to their location.Please take the right equipment with you. At this time of year you really do need a torch and given the low cloud yesterday a map and compass are essential.All in all it gave us a good excuse for a pint in the lovely Brothers Water Inn and all ended well for the couple and their dogs. It would have been very different if they didn't have a mobile signal."
84 Year Old Male Head Injury close to Aira Force,2018-11-21,Close to Aira Force,NY 39900 20500,At 11.45 today 21 November 2018.Patterdale Mountain Rescue Team were called by the North West Ambulance Service to go to the aid of an 84 year old male who had suffered head injuries close to Aira Force.Upon arrival at Aira Force the man had been treated by a land ambulance that was able to get to his location so the team stood down.10 Patterdale Mountain Rescue personnel were involved. 
Family lost at Whiteside bank - and found.,2018-10-25,Whiteside Bank,NY 33830 16170,"16.25 Thursday 25 October 2018Patterdale Mountain Rescue Team were called by the Police to go to the aid of a family of four who had become lost after summiting Helvellyn and missed the path down Swirral Edge.It became apparent that the family were getting very cold and wet and that one of the children was a type 1 diabetic.There location was established by the ""find a phone"" system and so Team members were able to quickly access the fell side and go to their aid.They were given extra clothing by the Team and escorted off the fell.The rescue lasted three hours and was attended by 11 Team members.Patterdale Mountain Rescue Team would like to remind people that when going for a days walk in the fells it is sound advice to try to have a fully charged mobile phone with you at the start of the day and that with the clocks going back imminently a torch is a vital piece of kit."
Two females cold & lost on the Dodds,2018-12-20,Little Dodd - St Johns Common,NY 33668 20543,Patterdale Mountain Rescue Team were called out by the Cumbria Constabulary to go to the aid of two female walkers who had become lost in low mist and cloud and subsequently had got cold.The Girls were located on the border of both The Patterdale Team and The Keswick Teams areas.The Keswick Team were returning to their base having already completed an earlier job so very kindle rerouted to go and collect the ladies and escort them back to their vehicle.This was a great result for the girls and The Patterdale Team were able to promptly stand downThe rescue from The Patterdale Team perspective lasted 1 hour and involved 8 personnel.
Reports of torch lights on fell,2018-12-30,Glenridding ,NA,A woman who was at the Travellers Rest saw lights on the mountain and reported these to the Police. We discussed this with her and concluded that they were probably just walkers out enjoying themselves.
3 Persons lost on Helvellyn,2018-09-01,Grisedale ,NY 35000 12300,"At 17:36hrs Saturday 1 Sept 18, members of Patterdale MRT were called by NWAS to reports of 3 people who were reported lost after ascending Helvellyn.After speaking with the informant the party of 3 had taken a wrong turn in the mist at Grisedale Tarn and descended down into Grisedale valley.After it was confirmed there were no injuries to members of the party, it was agreed the Team would send a landrover up Grisedale valley to meet the party and bring them back to base to meet up with their walking party.The incident lasted 1.5hrs and was attended by 4 team members."
"Lady with ankle injury close to Spout Crag, Grisedale.",2018-09-07,"Spout Crag, Grisedale",NY 35502 13321,"At 13:31hrs Patterdale MRT we called by Cumbria Police to assist a lady who had slipped while out walking with her husband.The incident occurred close to Spout Crag on the path between Grisedale Tarn and Patterdale.The lady who was from Western Australia was treated on scene for a suspected broken ankle by Team members, before being stretched off the fell. The lady was transported back to the rescue centre using the team's 4x4 Defender Landrover before being transferred to the Cumberland Infirmary for further treatment.Members of Penrith MRT were called to assist in the evacuation of the lady. The incident lasted approximately 4hrs and involved 16 personnel."
Dog crag fast on Hart Crag overlooking Greenhow,2018-09-08,"Hart Crag, overlooking Greenhow End",NY 36880 11260,"Patterdale MRT were alerted by Cumbria Police to a dog that appeared to be crag fast on Hart Crag over looking Greenhow End.The team contacted the informant who was close to scene, and during the discussion the dog made its way off the crag.The Team were stood down."
"Possible flashing lights and shouts, Angle Tarn / Boredale Hause",2018-09-12,Angle Tarn / Boredale Hause,NY 40870 15410,"The Team were alerted to possible flashing lights and shouts of help close to Boredale Hause / Angle Tarn Pikes.After discussions with the reporting person, and the sighting of mountain bikers in the valley, it was concluded that it had been mountain bikers making their way down from the fells.No further action was taken."
"21 year old female falls 5m from crag, close to Angle Tarn Pikes",2018-09-12,Angle Tarn Pikes,NY 41360 14770,At 22:21hrs the Team were called to reports of 21year old female who had fallen 5m while scrambling on Angle Tarn Pikes above Ullswater.When the Team arrived on scene the young lady was assessed by the Team Doctor and Paramedic for a suspected back injury and dislocated ankle.Due to the nature of her injuries and as a precautionary measure a Coastguard helicopter was requested from Caenarfon. The female was flown from scene to Barrow hospital for further treatment.The callout lasted 4.5hrs and was attended by 12 members
Body in lake,2018-09-23,Sandwick Bay,NY 42585 20080,A man's body was recovered from Ullswater.
Lone female walker lost near Angle Tarn Pikes,2018-09-24,Satura Crags,NY 42400 13500,"The Team were called by Cumbria Police last night to locate a female who had become lost when darkness descended. She was reported to be in the area of Angle Tarn Pikes.The Team were able to successfully locate the female by requesting she downloaded the app ""OS Locate"" which when installed, provided the team with an accurate grid reference. This grid gave a location close to Satura Crags.As the female was uninjured the Team sent a small party to via Hayeswater to assist with her walk off.The Team would like to take this opportunity to emphasis the need to carry a map, compass and torch at all times.The callout lasted 3hrs and was attended by 3 members"
Man stuck in mine at Cauldale Slate Quarry,2018-09-27,Cauldale Slate Quarry,NY 40834 10896,Man stuck in mine at Cauldale Slate Quarry
"Male fallen and unable to bear weight, Hart Crag  close to Place Fell",2018-09-30,Place Fell,NY 40918 17370,"On Sunday 30th September, Patterdale Mountain Rescue Team were called out by North West Ambulance Service to a male who had sustained a leg injury while out walking with friends and family.The team had just completed a joint medical and ropework training exercise with fellow colleagues from RAF Leeming and Valley MRT's when the call came. The Teams were able to respond immediately to the location of the incident. A team paramedic assessed the casualty's injuries and a request was made for Helimed 58 to transfer the patient to the Cumberland Infirmary Carlisle for further treatment.The incident was attended by 16 members of the RAF Mountain Rescue Service and 16 members from Patterdale MRT and was a great opportunity to put training into action."
Student with cut leg,2018-10-06,"Striding Edge, Helvellyn",NY 34900 14900,A student was rescued from Striding Edge after he tripped and sustained a cut to his leg. 
Glenridding Mines - injured male,2018-10-06,Glenridding Mines / Youth Hostel,NY 36400 17300,A man was assisted from the beck at Helvellyn Youth Hostel having had a little too much to drink and falling into water.
Female collapsed at Boredale Hause,2018-10-10,Bordale Hause,NY 40700 15700,At 11-42am Patterdale Mountain Rescue Team were called out by Cumbria Police to a lady who had collapsed while out walking with friends at Boredale Hause.The lady was assessed on scene before being stretchered off the fellside to Beckstones where she was transferred to a team landrover and taken to the rescue centre.The lady was transferred by land ambulance to hospital for further treatment.
Distressed female in the area of Dollywagon / Grisedale Tarn,2018-10-13,Dollywagon / Grisedale Tarn,NY 34820 12650,As the team were responding the lady was located in Keswick's area and the team were stood down
"Walkers reported overdue, Striding Edge",2018-10-18,Helvellyn Area,NY 35460 15150,"Walkers reported overdue, Striding Edge"
Search for personal belongings of a walker who fell off Striding Edge,2018-07-28,"Bad Step, Striding Edge",NY 34600 15000,"After a request from Cumbria Police, team members conducted a search in the area where a walker had fallen from Striding Edge."
D of E Group.,2018-07-28,Satura Crag,NY 42200 13700,"Saturday 28 July 2018 - 13.50hrsPatterdale Mountain Rescue Team were called by The Cumbria Constabulary to go to the aid of a 17 year old male who had been blown over in the very strong winds that were blowing across the fell tops.He had sustained a suspected hip injury and was getting extremely cold in the prevailing conditions.Given the reported nature of the injuries a Coastguard helicopter was called for assistance.There were 7 young men in the party altogether.On arrival at scene The Team were confronted with three further members of the group with the early onset of mild Hypothermia, with some gentle persuasion they were all then walked off the fell leaving the rest of The Team members to treat the chap with the injured hip. Once The Coastguard helicopter arrived it winched the injured walker on to the Cumberland Infirmary for further treatment.The rescue lasted 4 hours and was attended by 12 Patterdale Mountain Rescue Volunteers."
Persons lost on Helvellyn,2018-08-03,Helvellyn,NY 34200 15200,A family reported themselves as lost on Helvellyn. They made their own way back to the valley.
Paddle boarder reported to be in need off help.,2018-08-05,Glencoyne Bay,NY 38900 61800,A paddle boarder and his child were reported as in trouble on Ullswater. This was a false alarm with good intent.
Boy jumped in to Ullswater and injured leg,2018-08-05,Kailpot Crag,NY 43374 20444,A boy was rescued from the shore of Ullswater after jumping into the lake and aggravating a previous fracture of his leg.
bordale hause biker with compound fracture,2018-08-10,,NA,"A competitor in a mountain bike event had fallen at Boredale Hause breaking his leg.The 42yr old male was treated on scene by event medics, mountain rescue team members and the GNAA crew from Langwathby. He was then stretched down to the valley bottom where he was airlifted to Carlisle hospital for further treatment.Twelve members of the Patterdale Team attended this incident which took four hours."
Man fallen with head injury on lake shore path,2018-08-11,Silver Point,NY 39476 18209,A man sustained a head injury whilst walking with family members along the lake shore path. He was transported by boat to his car for onward transport to hospital.
"Hard Tarn, campers requiring help",2018-08-12,,NA,Mike B
male collapsed lake shore path.,2018-08-14,Silver bay,NY 39900 18500,The team were tasked by Cumbria Police to help a 70yr old gentleman who had collapsed on the Lake shore path between Patterdale and Sandwick.The gentleman from the Lincoln area was suffering from a cardiac problem so once a team doctor had assessed him it was decided to request assistance from the GNAAS to expedite a swift transfer time to hospital. The casualty was transported from scene on the teams rescue boat and then transferred to the care of the GNAAS doctor and NWAS paramedics before onward travel to Carlisle hospital. The incident took 3.5 hours and involved 10 members of the Patterdale Team
Lights reported in the vicinity of Dove Crag,2018-08-19,Dove Crag,NY 38500 11500,The Team were alerted by Cumbria Police to reports of flashing light in the vicinity of Dove / Hart Crag.A team member who was in the area investigated the report and concluded it was coming for people camping high on the fell.No further action was undertaken.
Five Rescues in 48 Hours for Patterdale Mountain Rescue Team,2018-08-12,Grisedale,NY 35300 12800,"A very busy weekend…Patterdale Mountain Rescue Team members were called to five rescues within 48 hours this weekend. The first rescue, on Friday afternoon, was for a man who sustained an open fracture to his leg whilst taking part in an organised mountain bike race. He was treated on scene by team members and then flown to hospital by the Great North Air Ambulance.The second incident was for an 84-year-old man who had fallen whilst walking with family from Howtown to Patterdale. He sustained a head and facial injury and became disorientated and confused following the fall. He was treated by one of the team’s doctors on scene and then taken by the team’s rescue boat for onward transfer to hospital. On Sunday, the team dealt with three further rescues. The first, at around 0830 in the morning, was in response to a 999 call from two young men from London who were wild camping at Hard Tarn. They awoke to find themselves in thick mist and were unsure how to navigate back down to the valley safely. Nine team members went to locate them and then escort them safely off the mountain.Mike Blakey, Mountain Rescue Team Leader said: ‘Once again we’d like to take the opportunity to remind those who are visiting the mountains of the Lake District to check the weather forecast before venturing out. The heavy rain which arrived on Saturday evening, and the associated low cloud, should have been no surprise to anyone venturing onto the fells.’He went on to say: ‘Mountain rescue teams are entirely voluntary and, although team members are always willing to assist those in need, it can be frustrating and tiring when teams are called to those who could have avoided the situation that they found themselves in. This is particularly so when teams are already stretched dealing with more serious incidents.’ As the team completed the first rescue at around 1400 on Sunday they were then called to assist a woman who had fallen and sustained a fractured shoulder whilst walking the Coast to Coast long distance route. Team members, assisted by Penrith Mountain Rescue Team, climbed back up the valley they had just returned from to assist the woman. She was treated on scene and then lowered on a stretcher to the waiting Great North Air Ambulance before she was flown to hospital for treatment.As the second rescue of the day was starting the team were also paged by Cumbria Police to assist a 12-year-old boy who had fallen approximately 20ft from Swirral Edge, Helvellyn. Team members were sent to locate the boy and his father but they had made their own way safely to the valley. The team were out on incidents for approximately 18 hours over the weekend. "
4 Poorly Equipped Walkers Rescued from Dove Crag,2018-08-19,Dove Crag,NY 37300 10429,"At 04:09 on Sunday morning (yes 0409 AM) Patterdale MRT were called by Cumbria Police to respond to a report of four very wet and cold walkers somewhere near to Dove Crag, high in the Lake District. The four walkers, like several others before them, had failed to locate the Priest’s Hole where they had intended to spend the night.The Priest’s Hole has grown in popularity following the BBC’s Secret Britain programme in 2016. Since the programme was aired, Patterdale MRT members have responded to several serious incidents, including a fatal accident at the site. The programme has definitely increased the number of people attempting to spend the night there.The Team’s leader, Mike Blakey, said: ‘The Priest’s Hole is not an easy place to find and it sits high on the face of Dove Crag, an overhanging cliff. The route in and out can be dangerous and the start of the path can be difficult to locate, even for experienced walkers who know the location.’‘I cannot stress strongly enough the importance of understanding and taking note of the weather forecast. Just like last weekend, the unpleasant weather was forecast and therefore wholly predictable. Walkers must make sure they are properly equipped for their adventures and the weather. This means that you need waterproofs when it rains.’‘Although rescue teams are always willing to respond to those in need, people do need to make sure they are well prepared and resilient enough to at least take care of themselves until rescuers arrive. With the right equipment people can often take care of themselves and walk out after sunrise, when things often look better. ’‘When anyone calls for a mountain rescue team a chain of events unfolds from the 999 telephone call onwards. It starts with team members being alerted (by the Police, ambulance or Coastguard) via SMS, email and landline messages from the SARCALL system. One simple call can wake forty team members, as it did at 0400 this morning. From that point on, the rescue team’s duty leader will try to establish contact and work out where the injured or missing person is. In this instance, they were sitting right on the ‘border’ between Langdale MRT and Patterdale MRT. Given the four people were reporting that they were very wet and cold, both rescue teams went to their aid.’‘On this occasion, as the people had a 4G signal, we asked of them to download OS Locate onto their mobile device. Within just a few minutes they were able to provide the team with a grid reference, which turns a potential search into a rescue as team members can go directly to that location.’The four walkers were located safely at around 0715 by team members from Patterdale and Langdale Mountain Rescue Teams. The incident lasted six hours."
Lady with fractured dislocation of Ankle.,2018-08-21,Angle Tarn,NY 41700 14100,A woman was rescued following an ankle injury at Angle Tarn.
Reports of an Alsatian by the bad step on Striding Edge,2018-08-31,"Bad Step, Striding Edge",NY 34640 14960,"On 31st Aug 18 at 17:10hrs, members of Patterdale MRT were called by Cumbria Police to reports of an Alsatian on Striding Edge close to the bad step, and concerns for the whereabouts of its owner.Members of the team headed up to Striding Edge and recovered the Alsatian but there was no sign of it's owner.The dog was brought back to the rescue centre in readiness for collection by the dog warden and, in an attempt to locate the owners the chip was scanned for vital information.Unfortunately this proved fruitless. The information on the chip was not up to date and resulted in an unnecessary waste of time and resources by the emergency services in trying to locate the present owner.The incident lasted 5hrs and involved 9 team members."
"Rescue on steep ground above Hoggart Gill, Hartsop",2018-06-10,"Hoggart Gill, Hartsop",NY 38100 10700,"The team were call to the aid of a couple who had become stuck on steep ground above Hoggart Gill, Hartsop. When the team arrived a belay was set up and the couple were secured to a safety line and walked to safety. There were no injuries and the callout lasted 2.5hrs"
Male collapsed at Aira Force,2018-06-24,Aira Force,NY 41013 20268,"The team went to the aid of a man who had collapsed with chest injuries at Aira Force. He was treated on scene and transferred to an ambulance for onward care at Cumberland Infirmary, Carlisle. The rescue lasted approximately 90 minutes."
Male with broken ankle at Aira Force,2018-06-30,Aira Force,NY 40001 20091,A man from the Midlands area fell and broke his ankle on a path at Aira Force. He was treated by the team's doctor and paramedic before transfer to an Ambulance. The rescue took 2 hours.
lady with heat stroke,2018-07-01,Grisedale,NY 37800 15600,The team were called to assist a lady with heatstroke while out walking with friends. The lady managed to make her way to Braesteads Farm where she was meet by an ambulance and taken to hospital for a check up.
Lady with suspected dislocated elbow.,2018-07-13,Near Sandwick,NY 42257 19516,"At 9:30 on Friday morning Patterdale MRT were called to help a woman whom had fallen injuring her elbow and arm.The lady, who was from the North Yorkshire area had been hoping to complete the Ullswater Way with a friend and had fallen on the Lake Shore path just before Sandwick. She was treated at the scene by team members and a paramedic before being driven to Pooley Bridge where she was transferred into the care of the North West Ambulance Service and taken to Carlisle Hospital."
Overdue male walker,2018-07-13,Helvellyn,NY 34300 15100,A male walker was reported as overdue. He turned up safe and well.
Female with head injury at Aira Force,2018-07-14,Aira Force,NY 39900 20500,The team were called to assist a woman who had fallen and banged her head. She had reportedly lost consciousness. She was treated on scene by an ambulance crew and team members before being carried on a stretcher to the waiting ambulance.
51 year old complaining of chest pains,2018-07-14,Hole In The Wall,NY 36200 15700,Whilst the team were dealing with incident 41 they were called to reports of a man who was suffering chest pains on his way up Helvellyn. He was treated on scene by the air ambulance doctor and paramedic then flown by Coastguard Helicopter to hospital. It was hot and a long walk up for those team members who didn't fly!
A cut knee!,2018-07-14,"Striding Edge, Helvellyn",NY 35500 15000,Whilst the team were still dealing with incident 42 they were called to assist a man with an injured knee. Whilst on route from the Hole in the Wall to Striding Edge the man met a passing first aider who gave him a plaster and he was able to continue. It takes all sorts!
male with broken ankle at swarth beck,2018-07-19,Swarth Beck,NA,"At 11:30am on Thursday morning Cumbria Police tasked Patterdale MRT to an incident in Swarth Beck where a young man had fallen approximately 5m into a pool at the bottom of one of the waterfalls.Upon reaching (a difficult to access) scene the young man was treated for his injuries and his ankle was splinted. Because of the casualty’s location it was decided that the easiest way to extricate him would be via a helicopter with winching capabilities. The coastguard were able to task one of their air assets and with some impressive flying and a difficult winch the casualty was flow to Carlisle for further treatment.The Patterdale Team would like to thank their airborne colleagues from the coastguard for their assistance which was impressive to watch but certainly saved us and the casualty a protracted, difficult and possibly dangerous extrication."
dog rescue,2018-07-21,Wolf Crags,NY 35500 22300,On Saturday afternoon Cumbria Police contacted the Patterdale Mountain Rescue Team to ask if they could assist in retrieving a sheep dog from a ledge on Wolf Crags. The animal had become stuck a couple of days earlier whilst gathering on the broken ground above the old coach road between Dockray to Threlkeld. 5 team members took 3 hours to secure the dog before bringing it down to safety where it was reunited with its owners.
Faller off striding edge,2018-07-26,"Striding Edge, Helvellyn",NY 34600 14800,Sean D - Fatality
"Female with an ankle injury Lakeshore path, Ullswater",2018-04-14,Silver Point to Side Farm footpath,NY 39709 17114,"The Team were called by Cumbria Police to assist a female who had gone over on her ankle and was unable to continue her walk. The female was walking with friends on the lake Shore path between Silver Point and Side Farm who were able to raise the alarm.Team members attended the scene and splinted her ankle before placing her on a stretcher and lowering her down to the team Land Rover Ambulance.  The Team drove her to the Rescue Centre where she was transferred to an NWAS Ambulance for onward journey to the Cumberland Infirmary, Carlisle.As this job was coming an end the team were called out to the second job of the day."
Cyclist cold and suffering cramp,2018-04-15,Kepple Cove ,NY 34562 16425,"2.00pm Sunday 15 April 2018.Patterdale Mountain Rescue Team were alerted by Cumbria Constabulary to go to the aid of a mountain biker on the zig zag path above Keppel Cove dam.Two passing G.P`s whilst out walking, had come across the exhausted cyclist who was also suffering from a case of severe cramp, the weather was cold and wet and the 28 year old male was starting to get mildly hypothermic, they gave him food, drink and their spare clothing and stayed with the man until The Team arrived.The Team assessed the casualty and stretchered him off the fell to the waiting Land Rover ambulance.The Rescue lasted 2 hours and was attended by 9 volunteers from The Patterdale Team.Patterdale Mountain Rescue Team would like to thank the two passing Doctors for their assistance with this rescue."
67yof with ankle injury near Oxford Crag,2018-04-16,67yof with ankle injury near Oxford Crag,NA,Monday 16 April 16.20pmPatterdale Mountain Rescue Team were called to go to the assistance of a 67 year old female who had taken a slip whilst out walking in the area close to Oxford Crag Patterdale.Fortunately for the lady there were a couple of The Team members at Patterdale Mountain Rescue Base and they were able to go to the aid of the casualty in quick time.The lady's injury was splinted by the Team and she was then stretchered off the fell for onward transport to hospital.The rescue lasted 90 minutes and was attended by 7 volunteers from The Patterdale Team. 
Couple caught in severe thunder storms,2018-04-21,Place Fell,NY 40500 16900,"A couple, who were camping close the summit of Place Fell became scared in the middle of a very severe thunderstorm which had been forecast. They decided to run for the valley, abandoning all of their equipment in the process. Unfortunately they became lost and disorientated on their descent to the valley and called MRT for assistance. They eventually made their own way back to the valley safely."
Walker slipped while on the Fairfield Horseshoe,2018-04-29,Heron Pike,NY 35580 08250,"At 13:28hrs, Sunday 29 April, volunteer members of Patterdale Mountain Rescue Team were called by Cumbria Police to assist a male who had sustained a leg injury while walking the Fairfield Horseshoe.The team made contact with the informant and the location was confirmed as south of Heron Pike which lies within the area of Langdale Ambleside MRT. The job was transferred to LAMRT for their team members to deal with."
Major search for missing fell runner,2018-05-02,Brandreath Area,NY 21394 11885,
Male with head injury at Aira force,2018-05-12,Aira Force,NY 39991 20625,A 72 year old man fell whilst walking at Aira Force. He sustained a head injury and was treated on scene by the team's doctor and paramedic before onward transfer to hospital by the Great North Air Ambulance. Whilst this incident was underway the team were called to another injured walker on Hart Crag (Incident 32).
Man fallen near hart Crag,2018-05-12,Near Hart crag,NY 37500 11500,A man fell whilst walking with his family at Hart Crag. He sustained a head injury. The man was treated on scene and then flown to hospital by the Great North Air Ambulance.
Man fallen with dislocated ankle Striding Edge,2018-05-19,Striding edge,NY 34998 14924,A man sustained a broken leg whilst walking Striding Edge. Team members treated him on scene and he was airlifted to hospital by the Coastguard helicopter. 
Ankle injury at Striding edge,2018-05-29,"Striding Edge, Helvellyn",NY 34851 14943,"Today at 13:40 the team were called out for a gentleman whom had fallen on Striding Edge injuring his right ankle. The man whom was in his mid-fifties and from the Loughborough area felt that he was unable to either continue or retreat. Patterdale Team members were dispatched to his location to help evacuate him from the fell. The gentleman was treated at the scene and his leg was splinted before he was lowered down to Red Tarn. Patterdale MRT would like to thank their colleagues from Penrith and the GNAAS Air Ambulance for their assistance with this rescue. Both agencies certainly helping to expedite a speedy evacuation and certainly save the team a lot of sweat and maybe even some tears.The public are reminded that Mountain Rescue in the UK is a voluntary service and funded entirely by public donations, the GNAAS Air Ambulance is also a charity and so we couldn’t continue to offer the services that we do without your continued support."
Walker fallen on snow and taken a long slide.,2018-02-26,Grisedale Tarn/Deepdale Hause,NY 35716 12386,"Cumbria Police called Patterdale Mountain Rescue Team at 13.20 on Monday 26 February after reports from members of the public that they could hear shouts for help from the fell side close to Grisedale Tarn.Two members of the public managed to locate the casualty after hearing his cries for help, one was from Bolton Mountain Rescue Team and managed to give an accurate location for the stricken gentleman and some vital information.It soon became apparent that the chap had taken a long slide and had suspected serious injuries with this in mind the Helimed 58 was called along with the Coastguard Helicopter from Prestwick.The Team arrived on scene and assisted the Helimed doctor and paramedic in treating the mans injuries, a suspected broken pelvis and fractured shoulder.When Coastguard Helicopter arrived they winched the gentleman into the helicopter for onward transport to Preston infirmary.Patterdale Mountain Rescue would like to thank our colleagues from Penrith Mountain Rescue Team for their assistance on this rescue along with her Majesty`s Coastguard and the Cumbria Air Ambulance.This Rescue took 4.5 hours and involved 23 Mountain Rescue Personnel."
Man fallen from gritter lorry,2018-02-28,A5091 near Royal hotel Dockray,NY 39316 21791,23.20 Wednesday 28 February 2018Patterdale Mountain Rescue Team were called upon by the North West Ambulance Service to go to the aid of a 50 year old gentleman who had fallen from a Gritter lorry close to The Royal Hotel at Dockray.Three Team 4 x 4 Landrover vehicles attended the scene and they treated the by now very cold gentleman for a broken femur and suspected broken pelvis.He was then transferred to an NWAS Ambulance that had managed to get through the treacherous conditions all the way from Ambleside!The Rescue lasted 3 hours and was attended by 11 Patterdale Mountain Rescue personnel.
Provide resources to assist Penrith MRT during severe weather event,2018-03-01,"Brampton, Cumbria",NY 52410 61760,"Provide resources to Penrith MRT during severe weather event and assist with the evacuation of a gentleman whose car was stuck in snow, near Brampton"
Provide resources to Penrith MRT during day 2 of the severe weather event,2018-03-02,"Bampton, Cumbria",NY 51470 18210,Provide resources to Penrith MRT during day 2 of the severe weather event. Patterdale MRT assisted with the evacuation and distribution of medical supplies within the community.
